election_id,election_date,prov_code,ed_id,ed_name,cand_id,cand_name,cand_raw_party_name,party_id,party_name,party_short_name,mainstream,votes,acclaimed,place
29,1972-10-30,AB,1,ATHABASCA,17788,"YEWCHUK, Paul",Progressive Conservative,124,Progressive Conservative Party,PC,t,12936,f,1
29,1972-10-30,AB,1,ATHABASCA,17789,"DUCHARME, Jim",Liberal,75,Liberal,Lib,t,4871,f,2
29,1972-10-30,AB,1,ATHABASCA,17790,"OPRYSHKO, Peter Eugene",New Democratic Party,100,New Democratic Party,NDP,t,2677,f,3
29,1972-10-30,AB,1,ATHABASCA,17791,"BOURCIER, Albert V.",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,989,f,4
29,1972-10-30,AB,2,BATTLE RIVER,17792,"KUNTZ, Harry",Progressive Conservative,124,Progressive Conservative Party,PC,t,16268,f,1
29,1972-10-30,AB,2,BATTLE RIVER,17793,"ERIKSSON, Vincent",New Democratic Party,100,New Democratic Party,NDP,t,3427,f,2
29,1972-10-30,AB,2,BATTLE RIVER,17794,"KNAUT, Rod",Liberal,75,Liberal,Lib,t,3277,f,3
29,1972-10-30,AB,2,BATTLE RIVER,17795,"MUNRO, Douglas H.",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,2613,f,4
29,1972-10-30,AB,3,CALGARY CENTRE,17796,"ANDRE, Harvie",Progressive Conservative,124,Progressive Conservative Party,PC,t,22669,f,1
29,1972-10-30,AB,3,CALGARY CENTRE,17797,"TAYLOR, Nick",Liberal,75,Liberal,Lib,t,13110,f,2
29,1972-10-30,AB,3,CALGARY CENTRE,17798,"JONES, David",New Democratic Party,100,New Democratic Party,NDP,t,5538,f,3
29,1972-10-30,AB,3,CALGARY CENTRE,17799,"WILLMOTT, Clifford M.",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,1081,f,4
29,1972-10-30,AB,3,CALGARY CENTRE,17800,"COTTINGHAM, Frank F.",No affiliation to a recognised party,52,Independent,Ind,f,80,f,5
29,1972-10-30,AB,3,CALGARY CENTRE,17801,"CONSTANT, Colin",No affiliation to a recognised party,52,Independent,Ind,f,53,f,6
29,1972-10-30,AB,4,CALGARY NORTH,17802,"WOOLLIAMS, Eldon",Progressive Conservative,124,Progressive Conservative Party,PC,t,30973,f,1
29,1972-10-30,AB,4,CALGARY NORTH,17803,"LAMBERT, Roland-Aimé",Liberal,75,Liberal,Lib,t,12647,f,2
29,1972-10-30,AB,4,CALGARY NORTH,17804,"PASHAK, Leonard Barry",New Democratic Party,100,New Democratic Party,NDP,t,6630,f,3
29,1972-10-30,AB,4,CALGARY NORTH,17805,"DAWRANT, A. Geoffrey",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,1851,f,4
29,1972-10-30,AB,4,CALGARY NORTH,17806,"JASIENCZYK, John J.",Independent,52,Independent,Ind,f,192,f,5
29,1972-10-30,AB,5,CALGARY SOUTH,17807,"BAWDEN, Peter",Progressive Conservative,124,Progressive Conservative Party,PC,t,34925,f,1
29,1972-10-30,AB,5,CALGARY SOUTH,17808,"MAHONEY, Pat",Liberal,75,Liberal,Lib,t,18437,f,2
29,1972-10-30,AB,5,CALGARY SOUTH,17809,"YANCHULA, Joseph",New Democratic Party,100,New Democratic Party,NDP,t,5386,f,3
29,1972-10-30,AB,5,CALGARY SOUTH,17810,"CAMERON, Ralph Wilson",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,1233,f,4
29,1972-10-30,AB,5,CALGARY SOUTH,17811,"MASON, E. John",Independent,52,Independent,Ind,f,110,f,5
29,1972-10-30,AB,6,CROWFOOT,17812,"HORNER, Jack",Progressive Conservative,124,Progressive Conservative Party,PC,t,18667,f,1
29,1972-10-30,AB,6,CROWFOOT,17813,"MCALISTER, Andy",Liberal,75,Liberal,Lib,t,2591,f,2
29,1972-10-30,AB,6,CROWFOOT,17814,"GREEN, Jim",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,1768,f,3
29,1972-10-30,AB,6,CROWFOOT,17815,"MCGOWAN, Gloria Jean Ann",New Democratic Party,100,New Democratic Party,NDP,t,1686,f,4
29,1972-10-30,AB,7,EDMONTON CENTRE,17816,"PAPROSKI, Steven Eugene",Progressive Conservative,124,Progressive Conservative Party,PC,t,21443,f,1
29,1972-10-30,AB,7,EDMONTON CENTRE,17817,"SCHEPANOVICH, Branny",Liberal,75,Liberal,Lib,t,11165,f,2
29,1972-10-30,AB,7,EDMONTON CENTRE,17818,"LABERCANE, George D.",New Democratic Party,100,New Democratic Party,NDP,t,6166,f,3
29,1972-10-30,AB,7,EDMONTON CENTRE,17819,"HATTERSLEY, J. Martin",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,1006,f,4
29,1972-10-30,AB,7,EDMONTON CENTRE,17820,"PYLYPA, Glenn P.G.",No affiliation to a recognised party,52,Independent,Ind,f,134,f,5
29,1972-10-30,AB,7,EDMONTON CENTRE,17821,"ROBICHAUD, Diane E.",No affiliation to a recognised party,52,Independent,Ind,f,106,f,6
29,1972-10-30,AB,8,EDMONTON EAST,17822,"SKOREYKO, William M.",Progressive Conservative,124,Progressive Conservative Party,PC,t,21137,f,1
29,1972-10-30,AB,8,EDMONTON EAST,17823,"MACLEAN-EVANS, Una",Liberal,75,Liberal,Lib,t,11997,f,2
29,1972-10-30,AB,8,EDMONTON EAST,17824,"PACHAL, Ashley",New Democratic Party,100,New Democratic Party,NDP,t,6493,f,3
29,1972-10-30,AB,8,EDMONTON EAST,17825,"SENYK, Nick D.",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,1139,f,4
29,1972-10-30,AB,8,EDMONTON EAST,17826,"TUOMI, Bill",No affiliation to a recognised party,52,Independent,Ind,f,217,f,5
29,1972-10-30,AB,9,EDMONTON WEST,17827,"LAMBERT, Marcel",Progressive Conservative,124,Progressive Conservative Party,PC,t,29876,f,1
29,1972-10-30,AB,9,EDMONTON WEST,17828,"HURTIG, Mel",Liberal,75,Liberal,Lib,t,21040,f,2
29,1972-10-30,AB,9,EDMONTON WEST,17829,"PACKER, John",New Democratic Party,100,New Democratic Party,NDP,t,6770,f,3
29,1972-10-30,AB,9,EDMONTON WEST,17830,"MCLEOD, Donald H.",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,1419,f,4
29,1972-10-30,AB,10,EDMONTON--STRATHCONA,17831,"ROCHE, Doug",Progressive Conservative,124,Progressive Conservative Party,PC,t,26908,f,1
29,1972-10-30,AB,10,EDMONTON--STRATHCONA,17832,"HARRIES, Hu",Liberal,75,Liberal,Lib,t,16625,f,2
29,1972-10-30,AB,10,EDMONTON--STRATHCONA,17833,"LEESON, Howard Alfred",New Democratic Party,100,New Democratic Party,NDP,t,9098,f,3
29,1972-10-30,AB,10,EDMONTON--STRATHCONA,17834,"PELCH, Bill",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,1272,f,4
29,1972-10-30,AB,10,EDMONTON--STRATHCONA,17835,"ROWLEY, Elizabeth",No affiliation to a recognised party,52,Independent,Ind,f,152,f,5
29,1972-10-30,AB,10,EDMONTON--STRATHCONA,17836,"MORTON, Peggy",No affiliation to a recognised party,52,Independent,Ind,f,63,f,6
29,1972-10-30,AB,11,LETHBRIDGE,17837,"HURLBURT, Ken",Progressive Conservative,124,Progressive Conservative Party,PC,t,18845,f,1
29,1972-10-30,AB,11,LETHBRIDGE,17838,"RUSSELL, Andy",Liberal,75,Liberal,Lib,t,7601,f,2
29,1972-10-30,AB,11,LETHBRIDGE,17839,"HOFFMAN, Hal",New Democratic Party,100,New Democratic Party,NDP,t,3941,f,3
29,1972-10-30,AB,11,LETHBRIDGE,17840,"HANCOCK, Keith L.",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,2219,f,4
29,1972-10-30,AB,12,MEDICINE HAT,17841,"HARGRAVE, Bert",Progressive Conservative,124,Progressive Conservative Party,PC,t,15027,f,1
29,1972-10-30,AB,12,MEDICINE HAT,17842,"OLSON, H.A. Bud",Liberal,75,Liberal,Lib,t,9403,f,2
29,1972-10-30,AB,12,MEDICINE HAT,17843,"TOOLE, Lewis E.",New Democratic Party,100,New Democratic Party,NDP,t,2033,f,3
29,1972-10-30,AB,12,MEDICINE HAT,17844,"PAXMAN, D. Willard",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,1519,f,4
29,1972-10-30,AB,13,PALLISER,17845,"SCHUMACHER, Stan",Progressive Conservative,124,Progressive Conservative Party,PC,t,29284,f,1
29,1972-10-30,AB,13,PALLISER,17846,"GUICHON, Mary",Liberal,75,Liberal,Lib,t,8854,f,2
29,1972-10-30,AB,13,PALLISER,17847,"MCCUTCHEON, Bill",New Democratic Party,100,New Democratic Party,NDP,t,5000,f,3
29,1972-10-30,AB,13,PALLISER,17848,"ENS, Edwin Ed",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,2563,f,4
29,1972-10-30,AB,14,PEACE RIVER,17849,"BALDWIN, Ged",Progressive Conservative,124,Progressive Conservative Party,PC,t,14255,f,1
29,1972-10-30,AB,14,PEACE RIVER,17850,"VAN VOORST, Jake",New Democratic Party,100,New Democratic Party,NDP,t,5678,f,2
29,1972-10-30,AB,14,PEACE RIVER,17851,"KIMPE, Ed",Liberal,75,Liberal,Lib,t,3324,f,3
29,1972-10-30,AB,14,PEACE RIVER,17852,"ROSS, J. Donovan",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,1904,f,4
29,1972-10-30,AB,14,PEACE RIVER,17853,"BRYAN, Gertrude",No affiliation to a recognised party,52,Independent,Ind,f,119,f,5
29,1972-10-30,AB,14,PEACE RIVER,17854,"ZUK, Michael",No affiliation to a recognised party,52,Independent,Ind,f,74,f,6
29,1972-10-30,AB,14,PEACE RIVER,17855,"LOVELY, Wayne",No affiliation to a recognised party,52,Independent,Ind,f,67,f,7
29,1972-10-30,AB,15,PEMBINA,17856,"HOLLANDS, Dan",Progressive Conservative,124,Progressive Conservative Party,PC,t,23864,f,1
29,1972-10-30,AB,15,PEMBINA,17857,"BORGER, John P.",Liberal,75,Liberal,Lib,t,9879,f,2
29,1972-10-30,AB,15,PEMBINA,17858,"HENNESSEY, Thomas",New Democratic Party,100,New Democratic Party,NDP,t,5710,f,3
29,1972-10-30,AB,15,PEMBINA,17859,"WIWCHAR, Norman M.",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,1184,f,4
29,1972-10-30,AB,15,PEMBINA,17860,"DAVIDSON, Sam",No affiliation to a recognised party,52,Independent,Ind,f,421,f,5
29,1972-10-30,AB,16,RED DEER,17861,"TOWERS, T. Gordon",Progressive Conservative,124,Progressive Conservative Party,PC,t,20943,f,1
29,1972-10-30,AB,16,RED DEER,17862,"MOFFAT, Dennis",Liberal,75,Liberal,Lib,t,5762,f,2
29,1972-10-30,AB,16,RED DEER,17863,"FINN, Bill",New Democratic Party,100,New Democratic Party,NDP,t,3852,f,3
29,1972-10-30,AB,16,RED DEER,17864,"KEEGSTRA, Jim",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,3631,f,4
