election_id,election_date,prov_code,ed_id,ed_name,cand_id,cand_name,cand_raw_party_name,party_id,party_name,party_short_name,mainstream,votes,acclaimed,place
23,1957-06-10,AB,1,ACADIA,12078,"QUELCH, Victor",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,10348,f,1
23,1957-06-10,AB,1,ACADIA,12079,"FERGUSON, Crawford",Liberal,75,Liberal,Lib,t,5825,f,2
23,1957-06-10,AB,1,ACADIA,12080,"KENT, William R.",Progressive Conservative,124,Progressive Conservative Party,PC,t,1852,f,3
23,1957-06-10,AB,1,ACADIA,12081,"MCRAE, Stuart",Co-operative Commonwealth Federation,29,Co-operative Commonwealth Federation,CCF,t,1520,f,4
23,1957-06-10,AB,2,ATHABASKA,12082,"DECHENE, Joseph Miville",Liberal,75,Liberal,Lib,t,7453,f,1
23,1957-06-10,AB,2,ATHABASKA,12083,"MCPHAIL, Archie A.",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,7029,f,2
23,1957-06-10,AB,2,ATHABASKA,12084,"SHORE, Alec",Progressive Conservative,124,Progressive Conservative Party,PC,t,2116,f,3
23,1957-06-10,AB,2,ATHABASKA,12085,"SVEKLA, Nicholas W.",Co-operative Commonwealth Federation,29,Co-operative Commonwealth Federation,CCF,t,1381,f,4
23,1957-06-10,AB,3,BATTLE RIVER--CAMROSE,12086,"SMITH, James A.",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,10945,f,1
23,1957-06-10,AB,3,BATTLE RIVER--CAMROSE,12088,"HECKBERT, S. Carl",Liberal,75,Liberal,Lib,t,5523,f,2
23,1957-06-10,AB,3,BATTLE RIVER--CAMROSE,12087,"SMALLWOOD, Clifford S.",Progressive Conservative,124,Progressive Conservative Party,PC,t,3808,f,3
23,1957-06-10,AB,3,BATTLE RIVER--CAMROSE,12089,"ROLSETH, Harold",Co-operative Commonwealth Federation,29,Co-operative Commonwealth Federation,CCF,t,2180,f,4
23,1957-06-10,AB,4,BOW RIVER,12090,"JOHNSTON, Charles Edward",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,7383,f,1
23,1957-06-10,AB,4,BOW RIVER,12092,"WOOLLIAMS, Eldon Mattison",Progressive Conservative,124,Progressive Conservative Party,PC,t,7039,f,2
23,1957-06-10,AB,4,BOW RIVER,12091,"BATES, Arthur Cecil",Liberal,75,Liberal,Lib,t,4493,f,3
23,1957-06-10,AB,5,CALGARY NORTH,12093,"HARKNESS, Douglas Scott",Progressive Conservative,124,Progressive Conservative Party,PC,t,21783,f,1
23,1957-06-10,AB,5,CALGARY NORTH,12095,"SMITH, Ian",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,10066,f,2
23,1957-06-10,AB,5,CALGARY NORTH,12094,"MACLEAN, Una",Liberal,75,Liberal,Lib,t,6429,f,3
23,1957-06-10,AB,5,CALGARY NORTH,12096,"BRONSON, Harold",Co-operative Commonwealth Federation,29,Co-operative Commonwealth Federation,CCF,t,1545,f,4
