election_id,election_date,prov_code,ed_id,ed_name,cand_id,cand_name,cand_raw_party_name,party_id,party_name,party_short_name,mainstream,votes,acclaimed,place
36,1997-06-02,AB,1,ATHABASCA,28214,"Chatters, David",Reform Party of Canada,134,Reform Party,Reform,t,14673,f,1
36,1997-06-02,AB,1,ATHABASCA,28215,"Germain, Adam",Liberal,75,Liberal,Lib,t,8066,f,2
36,1997-06-02,AB,1,ATHABASCA,28216,"McGladdery, Don",Progressive Conservative,124,Progressive Conservative Party,PC,t,2459,f,3
36,1997-06-02,AB,1,ATHABASCA,28217,"Nelson, Bryan",New Democratic Party,100,New Democratic Party,NDP,t,1262,f,4
36,1997-06-02,AB,1,ATHABASCA,28218,"Gregory, Dave",Green Party of Canada,50,Green Party,Grn,t,405,f,5
36,1997-06-02,AB,2,CALGARY CENTRE,28219,"Lowther, Eric C.",Reform Party of Canada,134,Reform Party,Reform,t,19936,f,1
36,1997-06-02,AB,2,CALGARY CENTRE,28220,"Longstaff, Bev",Liberal,75,Liberal,Lib,t,16231,f,2
36,1997-06-02,AB,2,CALGARY CENTRE,28221,"Gray, Rob",Progressive Conservative,124,Progressive Conservative Party,PC,t,9230,f,3
36,1997-06-02,AB,2,CALGARY CENTRE,28222,"Green, Duncan",New Democratic Party,100,New Democratic Party,NDP,t,3011,f,4
36,1997-06-02,AB,2,CALGARY CENTRE,28223,"Welling, Andrea",Green Party of Canada,50,Green Party,Grn,t,893,f,5
36,1997-06-02,AB,2,CALGARY CENTRE,28224,"Shapka, Roni",Natural Law Party of Canada,98,Natural Law Party of Canada,NatLaw,f,273,f,6
36,1997-06-02,AB,2,CALGARY CENTRE,28225,"Askin, Marg",Marxist-Leninist Party,86,Marxist-Leninist Party,Marx-Len,f,167,f,7
36,1997-06-02,AB,3,CALGARY EAST,28226,"Obhrai, Deepak",Reform Party of Canada,134,Reform Party,Reform,t,13348,f,1
36,1997-06-02,AB,3,CALGARY EAST,28227,"Richard, Roger",Progressive Conservative,124,Progressive Conservative Party,PC,t,7306,f,2
36,1997-06-02,AB,3,CALGARY EAST,28228,"Hage, Nagah",Liberal,75,Liberal,Lib,t,6766,f,3
36,1997-06-02,AB,3,CALGARY EAST,28229,"Jones, Kaie",New Democratic Party,100,New Democratic Party,NDP,t,1926,f,4
36,1997-06-02,AB,3,CALGARY EAST,28230,"Esposito, Santo",Natural Law Party of Canada,98,Natural Law Party of Canada,NatLaw,f,329,f,5
36,1997-06-02,AB,4,CALGARY NORTHEAST,28231,"Hanger, Art",Reform Party of Canada,134,Reform Party,Reform,t,18719,f,1
