election_id,election_date,prov_code,ed_id,ed_name,cand_id,cand_name,cand_raw_party_name,party_id,party_name,party_short_name,mainstream,votes,acclaimed,place
25,1962-06-18,AB,1,ACADIA,13771,"HORNER, Jack H.",Progressive Conservative,124,Progressive Conservative Party,PC,t,8440,f,1
25,1962-06-18,AB,1,ACADIA,13774,"HEWSON, G. Marshall",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,7565,f,2
25,1962-06-18,AB,1,ACADIA,13772,"HOURIHAN, Walter Peter",Liberal,75,Liberal,Lib,t,2150,f,3
25,1962-06-18,AB,1,ACADIA,13775,"JOHNSON, Floyd A.",New Democratic Party,100,New Democratic Party,NDP,t,1021,f,4
25,1962-06-18,AB,1,ACADIA,13776,"ROBINSON, James A.",Independent Liberal,58,Independent Liberal,IndLib,f,311,f,5
25,1962-06-18,AB,1,ACADIA,13773,"NAISMITH, John Darby",All Canadian Party,4,All Canadian Party,ACP,f,189,f,6
25,1962-06-18,AB,2,ATHABASKA,13777,"BIGG, Jack",Progressive Conservative,124,Progressive Conservative Party,PC,t,9678,f,1
25,1962-06-18,AB,2,ATHABASKA,13778,"VAN BRABANT, Jules",Liberal,75,Liberal,Lib,t,5554,f,2
25,1962-06-18,AB,2,ATHABASKA,13779,"MIKKELSEN, Joe",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,4679,f,3
25,1962-06-18,AB,2,ATHABASKA,13780,"VALLÉE, Pierre-Maurice",New Democratic Party,100,New Democratic Party,NDP,t,1306,f,4
25,1962-06-18,AB,3,BATTLE RIVER--CAMROSE,13781,"SMALLWOOD, Clifford S.",Progressive Conservative,124,Progressive Conservative Party,PC,t,12883,f,1
25,1962-06-18,AB,3,BATTLE RIVER--CAMROSE,13782,"SMITH, James A.",Social Credit Party of Canada,143,Social Credit Party,SoCred,t,6758,f,2
25,1962-06-18,AB,3,BATTLE RIVER--CAMROSE,13783,"JONES, Robert A.",Liberal,75,Liberal,Lib,t,2976,f,3
25,1962-06-18,AB,3,BATTLE RIVER--CAMROSE,13784,"ARNSTON, Alfred O.",New Democratic Party,100,New Democratic Party,NDP,t,1488,f,4
