party_id,party_name,party_short_name,ideology_code,mainstream,first_election,last_election,num_candidates,also_known_as
121,Progressive,Progressive,Oth,t,7,17,250,{Progressive}
122,Progressive Canadian Party,ProgCdnParty,Con,f,38,43,70,"{""PC Party"",""Progressive Canadian Party""}"
124,Progressive Conservative Party,PC,Con,t,1,37,5360,"{Liberal-Conservative,""National Government"",""Progressive Conservative""}"
128,Progressive Workers Movement,ProgWorker,Labour,f,27,27,1,"{""Progressive Workers Movement""}"
129,Prohibition,Prohib,SglIss,f,17,17,1,{Prohibition}
130,Protectionist,Protect,SglIss,f,16,16,1,{Protectionist}
131,Protestant Protective Association,ProtestantPA,SglIss,f,8,8,5,"{""Protestant Protective Association""}"
132,Radical chrétien,RadChret,Oth,f,24,24,1,"{""Radical chrétien""}"
133,Reconstruction Party,Reconstruct,Pop,t,18,18,173,"{""Reconstruction Party""}"
134,Reform Party,Reform,Con,t,28,36,507,"{""Reform Party of Canada""}"
136,Republican Party,Repub,Oth,f,27,28,2,"{Republican,""Republican Party""}"
138,Rhinoceros Party,Rhino,Oth,f,27,43,444,"{""Parti Rhinocéros"",""Parti Rhinocéros Party"",Rhinoceros}"
142,Seniors Party,Seniors,SglIss,f,42,42,1,"{""Seniors Party""}"
143,Social Credit Party,SoCred,Pop,t,18,34,1743,"{""Candidats des électeurs"",""New Democracy"",""Ralliement Créditiste"",""Social Credit Party of Canada""}"
147,Social Credit-National Unity,SoCredNat,Pop,f,19,19,1,"{""Social Credit-National Unity""}"
148,Socialist,Social,Labour,f,10,24,20,{Socialist}
149,Socialist Labour,SocialLab,Labour,f,20,28,7,"{""Socialist Labour""}"
150,Stop Climate Change,StopCliChg,Env,f,43,43,2,"{""Stop Climate Change""}"
151,Technocrat,Techno,Oth,f,18,18,1,{Technocrat}
152,The Bridge,Bridge,Oth,f,42,42,1,"{""The Bridge""}"
153,Trades Union,Traces,Labour,f,20,20,1,"{""Trades Union""}"
155,Union Populaire,UnionPop,SglIss,f,31,32,123,"{""Union Populaire""}"
156,Union of Electors,UnionElectors,Labour,f,20,21,57,"{""Union of Electors""}"
157,United Farmers,UnitedFarm,Labour,f,14,17,34,"{Farmer,""United Farmers of Alberta"",""United Farmers of Ontario""}"
162,United Party of Canada,UPC,Oth,f,40,43,11,"{UPC,""United Party""}"
163,United Reform Movement,UnitedReform,Labour,f,19,19,2,"{""United Reform"",""United Reform Movement""}"
165,Unité nationale,Unité,Oth,f,21,21,1,"{""Unité nationale""}"
166,Unknown,Unknown,Oth,f,1,25,696,{Unknown}
168,Verdun,Verdun,Oth,f,18,18,1,{Verdun}
167,Veterans Coalition,VetsCoal,SglIss,f,43,43,25,{VCP}
169,Veterans Party,Vets,SglIss,f,18,18,1,"{""Veterans Party""}"
170,Western Block Party,WBP,Pop,f,39,41,12,{WBP}
