election_id,prov_code,ed_id,ed_name,Con,Lib,Other,PC,1st,2nd,3rd
6,ON,133,"WATERLOO NORTH",1841,2080,,,Lib,Con,Other
6,ON,134,"WATERLOO SOUTH",1886,2254,,,Lib,Con,Other
6,ON,135,"WELLAND",2622,,2410,,Con,Other,Lib
6,ON,136,"WELLINGTON CENTRE",,2427,,2377,Lib,PC,Other
6,ON,137,"WELLINGTON NORTH",2175,2543,,,Lib,Con,Other
6,ON,138,"WELLINGTON SOUTH",2285,2411,,,Lib,Con,Other
6,ON,139,"WENTWORTH NORTH",1513,1639,,,Lib,Con,Other
6,ON,140,"WENTWORTH SOUTH",1839,1663,,,Con,Lib,Other
6,ON,141,"WEST TORONTO",3895,3428,,,Con,Lib,Other
6,ON,142,"YORK EAST",2391,2551,,,Lib,Con,Other
6,ON,143,"YORK NORTH",2231,2526,,,Lib,Con,Other
6,ON,144,"YORK WEST",2638,2110,,,Con,Lib,Other
6,PE,145,"KING'S COUNTY-1",2355,2431,,,Lib,Con,Other
6,PE,146,"KING'S COUNTY-2",2398,2434,,,Lib,Con,Other
6,PE,147,"PRINCE COUNTY-1",2600,2988,,,Lib,Con,Other
6,PE,148,"PRINCE COUNTY-2",,3184,,2763,Lib,PC,Other
6,PE,149,"QUEEN'S COUNTY-1",3430,,4314,,Other,Con,Lib
6,PE,150,"QUEEN'S COUNTY-2",3599,4382,,,Lib,Con,Other
6,QC,151,"ARGENTEUIL",,828,,1038,PC,Lib,Other
6,QC,152,"BAGOT",,,,,Other,Con,Lib
6,QC,153,"BEAUCE",1268,,2383,,Other,Con,Lib
6,QC,154,"BEAUHARNOIS",1210,,1432,,Other,Con,Lib
6,QC,155,"BELLECHASSE",878,,1515,,Other,Con,Lib
6,QC,156,"BERTHIER",1304,1535,,,Lib,Con,Other
6,QC,157,"BONAVENTURE",1352,994,,,Con,Lib,Other
6,QC,158,"BROME",1191,1570,,,Lib,Con,Other
6,QC,159,"CHAMBLY",1025,1071,,,Lib,Con,Other
6,QC,160,"CHAMPLAIN",,1534,,1649,PC,Lib,Other
6,QC,161,"CHARLEVOIX",,,2719,,Other,Con,Lib
6,QC,162,"CHICOUTIMI--SAGUENAY",1122,,1799,,Other,Con,Lib
6,QC,163,"CHÂTEAUGUAY",767,1120,,,Lib,Con,Other
6,QC,164,"COMPTON",,,1333,2157,PC,Other,Con
6,QC,165,"DORCHESTER",1089,,1565,,Other,Con,Lib
6,QC,166,"DRUMMOND--ARTHABASKA",,,,,Other,Con,Lib
6,QC,167,"GASPÉ",1219,1145,,,Con,Lib,Other
6,QC,168,"HOCHELAGA",,2832,3050,,Other,Lib,Con
6,QC,169,"HUNTINGDON",,,,,Other,Con,Lib
6,QC,170,"IBERVILLE",,,,,Other,Con,Lib
6,QC,171,"JACQUES CARTIER",1161,965,,,Con,Lib,Other
6,QC,172,"JOLIETTE",1532,1532,,,Con,Lib,Other
6,QC,173,"KAMOURASKA",1261,1518,,,Lib,Con,Other
6,QC,174,"L'ASSOMPTION",1096,1117,,,Lib,Con,Other
