election_id,prov_code,ed_id,ed_name,Bloc,Con,Grn,Lib,NDP,Other,1st,2nd,3rd
39,AB,48001,"Fort McMurray--Athabasca",,20400,1547,4663,4602,337,Con,Lib,NDP
39,AB,48002,"Calgary East",,26766,2954,5410,4338,422,Con,Lib,NDP
39,AB,48003,"Calgary Centre-North",,31174,6573,7628,9341,951,Con,NDP,Lib
39,AB,48004,"Calgary Northeast",,27169,1833,9241,3284,364,Con,Lib,NDP
39,AB,48005,"Calgary--Nose Hill",,37815,3573,9443,4385,,Con,Lib,NDP
39,AB,48006,"Calgary Centre",,30213,6372,10464,7227,250,Con,Lib,NDP
39,AB,48007,"Calgary Southeast",,44987,4076,6193,4584,,Con,Lib,NDP
39,AB,48008,"Calgary Southwest",,41549,4407,6553,4628,279,Con,Lib,NDP
39,AB,48009,"Calgary West",,38020,6653,14328,5370,390,Con,Lib,Grn
39,AB,48010,"Crowfoot",,43210,2347,2908,3875,,Con,NDP,Lib
39,AB,48011,"Edmonton--Mill Woods--Beaumont",,27191,2073,9809,6749,562,Con,Lib,NDP
39,AB,48012,"Edmonton Centre",,25805,3021,22196,6187,321,Con,Lib,NDP
39,AB,48013,"Edmonton East",,25086,2623,13088,9243,,Con,Lib,NDP
39,AB,48014,"Edmonton--Leduc",,33764,3479,10856,7685,,Con,Lib,NDP
39,AB,48015,"Edmonton--St. Albert",,34997,3520,11893,8218,,Con,Lib,NDP
39,AB,48016,"Edmonton--Sherwood Park",,34740,3992,7801,7773,,Con,Lib,NDP
39,AB,48017,"Edmonton--Spruce Grove",,38826,3404,9776,6091,,Con,Lib,NDP
39,AB,48018,"Edmonton--Strathcona",,22009,3139,9391,17153,1078,Con,NDP,Lib
39,AB,48019,"Lethbridge",,35061,1846,5859,7135,2193,Con,NDP,Lib
39,AB,48020,"Macleod",,37534,3075,4596,3251,1290,Con,Lib,NDP
39,AB,48021,"Medicine Hat",,35670,1746,3737,3598,,Con,Lib,NDP
39,AB,48022,"Peace River",,27785,1102,4573,5427,9882,Con,Other,NDP
39,AB,48023,"Red Deer",,38375,2618,4636,5034,,Con,NDP,Lib
39,AB,48024,"Vegreville--Wainwright",,37954,3822,3873,4727,795,Con,NDP,Lib
39,AB,48025,"Westlock--St. Paul",,29698,2136,6531,4368,797,Con,Lib,NDP
39,AB,48026,"Wetaskiwin",,35776,3016,4371,4441,,Con,NDP,Lib
39,AB,48027,"Wild Rose",,39487,5929,5331,3968,,Con,Grn,Lib
39,AB,48028,"Yellowhead",,30640,2856,4066,4712,765,Con,NDP,Lib
39,BC,59001,"Abbotsford",,29825,2740,5976,8004,593,Con,NDP,Lib
39,BC,59002,"Burnaby--Douglas",,13467,1694,16079,17323,138,NDP,Lib,Con
39,BC,59003,"Burnaby--New Westminster",,12364,1654,13420,17391,,NDP,Lib,Con
39,BC,59004,"Cariboo--Prince George",,19624,2416,10509,10129,988,Con,Lib,NDP
39,BC,59005,"Chilliwack--Fraser Canyon",,26842,1929,8106,10015,1049,Con,NDP,Lib
39,BC,59006,"Delta--Richmond East",,23595,2414,15527,7176,,Con,Lib,NDP
39,BC,59007,"Pitt Meadows--Maple Ridge--Mission",,20946,1694,10556,18225,699,Con,NDP,Lib
39,BC,59008,"Esquimalt--Juan de Fuca",,16327,3385,20761,18595,361,Lib,NDP,Con
39,BC,59009,"Fleetwood--Port Kells",,14577,1059,13749,10961,3202,Con,Lib,NDP
39,BC,59010,"Kamloops--Thompson--Cariboo",,20948,2518,13454,16417,,Con,NDP,Lib
39,BC,59011,"Kelowna--Lake Country",,28174,4562,14807,9538,223,Con,Lib,NDP
39,BC,59012,"Kootenay--Columbia",,22181,2490,5443,10560,132,Con,NDP,Lib
39,BC,59013,"Langley",,28577,3023,12553,9993,211,Con,Lib,NDP
39,BC,59014,"Nanaimo--Alberni",,26102,3379,12023,20335,1263,Con,NDP,Lib
39,BC,59015,"Nanaimo--Cowichan",,19615,3107,9352,28558,425,NDP,Con,Lib
39,BC,59016,"Newton--North Delta",,13416,853,15006,14006,537,Lib,NDP,Con
39,BC,59017,"New Westminster--Coquitlam",,16494,1496,11931,19427,1351,NDP,Con,Lib
39,BC,59018,"Okanagan--Shuswap",,24448,2215,12330,14551,956,Con,NDP,Lib
39,BC,59019,"North Vancouver",,22021,4483,25357,7903,112,Lib,Con,NDP
39,BC,59020,"Okanagan--Coquihalla",,25278,3802,11575,9660,,Con,Lib,NDP
39,BC,59021,"Port Moody--Westwood--Port Coquitlam",,19961,1623,13134,11196,2626,Con,Lib,NDP
39,BC,59022,"Prince George--Peace River",,22412,2394,5889,6377,351,Con,NDP,Lib
39,BC,59023,"Richmond",,16904,1967,18712,6106,,Lib,Con,NDP
39,BC,59024,"Saanich--Gulf Islands",,24416,6533,17144,17445,183,Con,NDP,Lib
39,BC,59025,"Skeena--Bulkley Valley",,12630,1064,4845,18496,1235,NDP,Con,Lib
39,BC,59026,"British Columbia Southern Interior",,8948,5258,9383,22742,123,NDP,Lib,Con
39,BC,59027,"South Surrey--White Rock--Cloverdale",,26383,2980,17336,9525,293,Con,Lib,NDP
39,BC,59028,"Surrey North",,9864,961,6991,16307,1564,NDP,Con,Lib
39,BC,59029,"Vancouver Centre",,11684,3340,25013,16374,693,Lib,NDP,Con
39,BC,59030,"Vancouver East",,5631,2536,9907,23927,293,NDP,Lib,Con
39,BC,59031,"Vancouver Island North",,22936,2715,7239,23552,,NDP,Con,Lib
39,BC,59032,"Vancouver Kingsway",,8679,1307,20062,15470,650,Lib,NDP,Con
39,BC,59033,"Vancouver Quadra",,16844,2974,28655,9379,462,Lib,Con,NDP
39,BC,59034,"Vancouver South",,11856,1435,20991,9205,202,Lib,Con,NDP
39,BC,59035,"Victoria",,15249,5036,17056,23839,801,NDP,Lib,Con
39,BC,59036,"West Vancouver--Sunshine Coast--Sea to Sky Country",,22891,3966,23867,12766,145,Lib,Con,NDP
