election_id,prov_code,ed_id,ed_name,Lib,NDP,Other,PC,SoCred,1st,2nd,3rd
32,ON,143,"NORTHUMBERLAND",13925,5108,,17860,,PC,Lib,NDP
32,ON,144,"ONTARIO",15494,12812,566,19963,,PC,Lib,NDP
32,ON,145,"OSHAWA",10129,26761,288,14645,,NDP,PC,Lib
32,ON,146,"OTTAWA CENTRE",21659,7529,818,17181,,Lib,PC,NDP
32,ON,147,"OTTAWA WEST",22460,5955,398,21940,,Lib,PC,NDP
32,ON,148,"OTTAWA--CARLETON",34960,7788,235,22384,,Lib,PC,NDP
32,ON,149,"OTTAWA--VANIER",27564,5721,785,7379,,Lib,PC,NDP
32,ON,150,"OXFORD",15546,6885,411,19382,,PC,Lib,NDP
32,ON,151,"PARKDALE--HIGH PARK",17213,8094,361,12116,,Lib,PC,NDP
32,ON,152,"PARRY SOUND--MUSKOKA",12149,7603,,14333,,PC,Lib,NDP
32,ON,153,"PERTH",12077,4635,56,15172,,PC,Lib,NDP
32,ON,154,"PETERBOROUGH",17202,10776,848,19417,,PC,Lib,NDP
32,ON,155,"PRINCE EDWARD--HASTINGS",12821,6889,211,16893,,PC,Lib,NDP
32,ON,156,"RENFREW--NIPISSING--PEMBROKE",20529,6200,,12966,,Lib,PC,NDP
32,ON,157,"ROSEDALE",14993,5698,807,16862,,PC,Lib,NDP
32,ON,158,"SARNIA",16275,9809,52,13986,,Lib,PC,NDP
32,ON,159,"SAULT STE. MARIE",15449,12542,59,4161,,Lib,NDP,PC
32,ON,160,"SCARBOROUGH CENTRE",16595,9237,335,14995,,Lib,PC,NDP
32,ON,161,"SCARBOROUGH EAST",17147,8533,241,17658,,PC,Lib,NDP
32,ON,162,"SCARBOROUGH WEST",14316,13146,559,12744,,Lib,NDP,PC
32,ON,163,"SIMCOE NORTH",14808,11139,,14874,,PC,Lib,NDP
32,ON,164,"SIMCOE SOUTH",16174,9474,,19768,,PC,Lib,NDP
32,ON,165,"SPADINA",13280,8232,944,5929,,Lib,NDP,PC
32,ON,166,"ST. CATHARINES",17173,13006,341,18622,,PC,Lib,NDP
32,ON,167,"ST. PAUL'S",17905,5301,716,15643,,Lib,PC,NDP
32,ON,168,"STORMONT--DUNDAS",22251,4629,,15089,,Lib,PC,NDP
32,ON,169,"SUDBURY",21954,12280,522,4661,,Lib,NDP,PC
32,ON,170,"THUNDER BAY--ATIKOKAN",13234,13150,122,7225,,Lib,NDP,PC
32,ON,171,"THUNDER BAY--NIPIGON",16582,12950,177,5865,,Lib,NDP,PC
32,ON,172,"TIMISKAMING",11135,10661,93,4901,,Lib,NDP,PC
32,ON,173,"TIMMINS--CHAPLEAU",15628,10745,57,3663,,Lib,NDP,PC
32,ON,174,"TRINITY",12628,5005,628,3695,,Lib,NDP,PC
32,ON,175,"VICTORIA--HALIBURTON",12388,8884,367,20308,,PC,Lib,NDP
32,ON,176,"WATERLOO",20455,9819,646,20609,,PC,Lib,NDP
32,ON,177,"WELLAND",18112,11729,173,11292,,Lib,NDP,PC
32,ON,178,"WELLINGTON--DUFFERIN--SIMCOE",12104,5966,162,21205,,PC,Lib,NDP
32,ON,179,"WILLOWDALE",22235,6889,216,17527,,Lib,PC,NDP
32,ON,180,"WINDSOR WEST",19755,9785,121,4107,,Lib,NDP,PC
32,ON,181,"WINDSOR--WALKERVILLE",20869,14460,209,4581,,Lib,NDP,PC
32,ON,182,"YORK CENTRE",23116,7696,370,6736,,Lib,NDP,PC
32,ON,183,"YORK EAST",20580,7997,638,16672,,Lib,PC,NDP
32,ON,184,"YORK NORTH",24281,8933,593,26039,,PC,Lib,NDP
32,ON,185,"YORK SOUTH--WESTON",16520,9280,480,8711,,Lib,NDP,PC
32,ON,186,"YORK WEST",21385,8884,308,7101,,Lib,NDP,PC
32,ON,187,"YORK--PEEL",17303,8708,906,23955,,PC,Lib,NDP
32,ON,188,"YORK--SCARBOROUGH",39208,10939,767,30925,,Lib,PC,NDP
32,PE,189,"CARDIGAN",8590,1054,180,8006,,Lib,PC,NDP
32,PE,190,"EGMONT",8639,824,,7033,,Lib,PC,NDP
32,PE,191,"HILLSBOROUGH",6555,1245,28,7128,,PC,Lib,NDP
32,PE,192,"MALPEQUE",7221,1216,,8486,,PC,Lib,NDP
32,QC,193,"ABITIBI",22050,2553,1724,1982,14881,Lib,SoCred,NDP
32,QC,194,"ARGENTEUIL",21976,2422,1433,5128,1074,Lib,PC,NDP
32,QC,195,"BEAUCE",21647,404,938,819,18734,Lib,SoCred,Other
32,QC,196,"BEAUHARNOIS--SALABERRY",27476,2738,704,5629,1017,Lib,PC,NDP
32,QC,197,"BELLECHASSE",20636,730,956,2912,15124,Lib,SoCred,PC
32,QC,198,"BERTHIER--MASKINONGÉ",21232,,1006,17483,546,Lib,PC,Other
32,QC,199,"BLAINVILLE--DEUX-MONTAGNES",35979,5460,2029,3448,1699,Lib,NDP,PC
32,QC,200,"BONAVENTURE--ÎLES-DE-LA-MADELEINE",19193,1568,1308,5063,528,Lib,PC,NDP
32,QC,201,"BOURASSA",30924,5144,1180,3182,,Lib,NDP,PC
32,QC,202,"CHAMBLY",32849,5868,2069,4655,1580,Lib,NDP,PC
32,QC,203,"CHAMPLAIN",25758,9164,416,4359,,Lib,NDP,PC
32,QC,204,"CHARLESBOURG",42569,7388,3546,4128,2275,Lib,NDP,PC
32,QC,205,"CHARLEVOIX",22130,1273,1177,5679,1021,Lib,PC,NDP
32,QC,206,"CHICOUTIMI",20821,2926,375,5607,1110,Lib,PC,NDP
32,QC,207,"CHÂTEAUGUAY",27152,4203,769,3311,1182,Lib,NDP,PC
