election_id,prov_code,ed_id,ed_name,Grn,Lib,NDP,Other,PC,SoCred,1st,2nd,3rd
33,ON,170,"THUNDER BAY--ATIKOKAN",,8704,14715,,12040,,NDP,PC,Lib
33,ON,171,"THUNDER BAY--NIPIGON",,12736,13901,180,10601,,NDP,Lib,PC
33,ON,172,"TIMISKAMING",,6308,6685,,15359,151,PC,NDP,Lib
33,ON,173,"TIMMINS--CHAPLEAU",,10273,9543,127,11944,,PC,Lib,NDP
33,ON,174,"TRINITY",341,9811,6712,523,5120,,Lib,NDP,PC
33,ON,175,"VICTORIA--HALIBURTON",339,10032,8682,324,30229,,PC,Lib,NDP
33,ON,176,"WATERLOO",,13911,10275,525,31898,,PC,Lib,NDP
33,ON,177,"WELLAND",284,14481,10508,145,18418,,PC,Lib,NDP
33,ON,178,"WELLINGTON--DUFFERIN--SIMCOE",,7303,6468,,29983,,PC,Lib,NDP
33,ON,179,"WILLOWDALE",,22063,6711,329,22425,,PC,Lib,NDP
33,ON,180,"WINDSOR WEST",,13624,11503,316,8158,,Lib,NDP,PC
33,ON,181,"WINDSOR--WALKERVILLE",,11574,14604,,13546,,NDP,PC,Lib
33,ON,182,"YORK CENTRE",,20810,8037,673,11138,,Lib,PC,NDP
33,ON,183,"YORK EAST",,16519,7581,414,21978,,PC,Lib,NDP
33,ON,184,"YORK NORTH",,18034,10077,32200,27955,,Other,PC,Lib
33,ON,185,"YORK SOUTH--WESTON",,14217,11679,981,10789,,Lib,NDP,PC
33,ON,186,"YORK WEST",238,17629,8718,761,12218,,Lib,PC,NDP
33,ON,187,"YORK--PEEL",,12538,9353,917,37493,,PC,Lib,NDP
33,ON,188,"YORK--SCARBOROUGH",,35869,13260,2437,48809,,PC,Lib,NDP
33,PE,189,"CARDIGAN",,8344,891,,10566,,PC,Lib,NDP
33,PE,190,"EGMONT",,8777,994,,7859,,Lib,PC,NDP
33,PE,191,"HILLSBOROUGH",37,6768,846,405,9158,,PC,Lib,NDP
33,PE,192,"MALPEQUE",,6186,2006,,10577,,PC,Lib,NDP
33,QC,193,"ABITIBI",,12525,3583,4189,23230,1179,PC,Lib,Other
33,QC,194,"ARGENTEUIL--PAPINEAU",,12096,2671,1862,21105,,PC,Lib,NDP
33,QC,195,"BEAUCE",,20323,1217,569,25028,,PC,Lib,NDP
33,QC,196,"BEAUHARNOIS--SALABERRY",,11395,2720,2014,27614,,PC,Lib,NDP
33,QC,197,"BELLECHASSE",,14500,1666,1588,24357,,PC,Lib,NDP
33,QC,198,"BERTHIER--MASKINONGÉ--LANAUDIÈRE",,11736,1200,676,31189,,PC,Lib,NDP
33,QC,199,"BLAINVILLE--DEUX-MONTAGNES",,23732,5609,2787,28863,255,PC,Lib,NDP
33,QC,200,"BONAVENTURE--ÎLES-DE-LA-MADELEINE",,13689,1040,720,15502,,PC,Lib,NDP
33,QC,201,"BOURASSA",,20221,3741,3116,18703,236,Lib,PC,NDP
33,QC,202,"BROME--MISSISQUOI",,15693,2271,1209,21678,,PC,Lib,NDP
33,QC,203,"CHAMBLY",,18078,6783,4459,31535,,PC,Lib,NDP
33,QC,204,"CHAMPLAIN",,14459,3124,723,27467,,PC,Lib,NDP
33,QC,205,"CHARLESBOURG",,22637,7301,3729,37592,469,PC,Lib,NDP
33,QC,206,"CHARLEVOIX",,11906,1022,610,23661,,PC,Lib,NDP
33,QC,207,"CHICOUTIMI",,10736,2211,1427,22304,,PC,Lib,NDP
33,QC,208,"CHÂTEAUGUAY",,17313,5083,2038,21318,,PC,Lib,NDP
33,QC,209,"DOLLARD",,21451,6619,2710,26076,,PC,Lib,NDP
33,QC,210,"DRUMMOND",,14137,2610,1395,23693,301,PC,Lib,NDP
33,QC,211,"DUVERNAY",,18465,5013,5802,29877,174,PC,Lib,Other
33,QC,212,"FRONTENAC",,9154,1081,1209,28246,,PC,Lib,Other
33,QC,213,"GAMELIN",720,17491,4730,3068,20870,,PC,Lib,NDP
33,QC,214,"GASPÉ",,10215,1065,1014,19128,,PC,Lib,NDP
33,QC,215,"GATINEAU",,17496,6543,908,25873,,PC,Lib,NDP
33,QC,216,"HOCHELAGA--MAISONNEUVE",,12201,3596,3098,13244,,PC,Lib,NDP
33,QC,217,"HULL--AYLMER",,17058,8247,1171,15563,,Lib,PC,NDP
33,QC,218,"JOLIETTE",,9006,2186,2316,38839,200,PC,Lib,Other
33,QC,219,"JONQUIÈRE",,14088,1870,2525,18217,,PC,Lib,Other
33,QC,220,"KAMOURASKA--RIVIÈRE-DU-LOUP",,12922,1550,2806,19651,,PC,Lib,Other
33,QC,221,"LA PRAIRIE",,25182,8602,3381,26506,,PC,Lib,NDP
33,QC,222,"LABELLE",,14465,4670,3197,28286,274,PC,Lib,NDP
33,QC,223,"LAC-SAINT-JEAN",,12683,2132,813,25270,,PC,Lib,NDP
33,QC,224,"LACHINE",,15156,5628,1964,24301,,PC,Lib,NDP
33,QC,225,"LANGELIER",,14004,4597,3495,16872,189,PC,Lib,NDP
33,QC,226,"LASALLE",,19418,4755,2314,23238,,PC,Lib,NDP
33,QC,227,"LAURIER",751,9302,4595,4336,7720,194,Lib,PC,NDP
33,QC,228,"LAVAL",,23002,8158,2630,30696,,PC,Lib,NDP
33,QC,229,"LAVAL-DES-RAPIDES",,22789,5215,3492,20420,,Lib,PC,NDP
33,QC,230,"LONGUEUIL",,19654,6401,5650,28956,,PC,Lib,NDP
33,QC,231,"LOTBINIÈRE",,20202,1963,1790,22584,,PC,Lib,NDP
33,QC,232,"LOUIS-HÉBERT",,22592,7548,4262,29420,184,PC,Lib,NDP
33,QC,233,"LÉVIS",,17283,12076,3279,32338,216,PC,Lib,NDP
33,QC,234,"MANICOUAGAN",,9640,939,637,28208,,PC,Lib,NDP
33,QC,235,"MATAPÉDIA--MATANE",,9929,909,3523,15994,,PC,Lib,Other
33,QC,236,"MONTMORENCY--ORLÉANS",,19226,3931,2185,22753,288,PC,Lib,NDP
33,QC,237,"MONTREAL--MERCIER",,19335,4925,4749,25071,,PC,Lib,NDP
33,QC,238,"MONTREAL--SAINTE MARIE",,13668,3525,3397,10919,,Lib,PC,NDP
