election_id,prov_code,ed_id,ed_name,Lib,NDP,Other,PC,SoCred,1st,2nd,3rd
29,AB,1,"ATHABASCA",4871,2677,,12936,989,PC,Lib,NDP
29,AB,2,"BATTLE RIVER",3277,3427,,16268,2613,PC,NDP,Lib
29,AB,3,"CALGARY CENTRE",13110,5538,133,22669,1081,PC,Lib,NDP
29,AB,4,"CALGARY NORTH",12647,6630,192,30973,1851,PC,Lib,NDP
29,AB,5,"CALGARY SOUTH",18437,5386,110,34925,1233,PC,Lib,NDP
29,AB,6,"CROWFOOT",2591,1686,,18667,1768,PC,Lib,SoCred
29,AB,7,"EDMONTON CENTRE",11165,6166,240,21443,1006,PC,Lib,NDP
29,AB,8,"EDMONTON EAST",11997,6493,217,21137,1139,PC,Lib,NDP
29,AB,9,"EDMONTON WEST",21040,6770,,29876,1419,PC,Lib,NDP
29,AB,10,"EDMONTON--STRATHCONA",16625,9098,215,26908,1272,PC,Lib,NDP
29,AB,11,"LETHBRIDGE",7601,3941,,18845,2219,PC,Lib,NDP
29,AB,12,"MEDICINE HAT",9403,2033,,15027,1519,PC,Lib,NDP
29,AB,13,"PALLISER",8854,5000,,29284,2563,PC,Lib,NDP
29,AB,14,"PEACE RIVER",3324,5678,260,14255,1904,PC,NDP,Lib
29,AB,15,"PEMBINA",9879,5710,421,23864,1184,PC,Lib,NDP
29,AB,16,"RED DEER",5762,3852,,20943,3631,PC,Lib,NDP
29,AB,17,"ROCKY MOUNTAIN",7973,3112,,12984,1080,PC,Lib,NDP
29,AB,18,"VEGREVILLE",3747,2639,208,19500,642,PC,Lib,NDP
29,AB,19,"WETASKIWIN",5296,3975,,19353,2576,PC,Lib,NDP
29,BC,20,"BURNABY--RICHMOND--DELTA",16441,18358,,19798,906,PC,NDP,Lib
29,BC,21,"BURNABY--SEYMOUR",17985,18274,289,11119,694,NDP,Lib,PC
29,BC,22,"CAPILANO",24489,8731,,17873,517,Lib,PC,NDP
29,BC,23,"COAST CHILCOTIN",8508,8868,,7601,749,NDP,Lib,PC
29,BC,24,"COMOX--ALBERNI",9501,17477,483,6440,1276,NDP,Lib,PC
