election_id,prov_code,ed_id,ed_name,CCF,Grn,Lib,NDP,Other,PC,Reform,SoCred,1st,2nd,3rd
34,ON,198,"YORK NORTH",,,37513,11583,1293,37436,,,Lib,PC,NDP
34,ON,199,"YORK SOUTH--WESTON",,,21111,9095,610,8488,,,Lib,NDP,PC
34,ON,200,"YORK WEST",,,19936,6088,1032,6368,,,Lib,PC,NDP
34,ON,201,"YORK--SIMCOE",,,19906,7489,2538,26732,,,PC,Lib,NDP
34,PE,202,"CARDIGAN",,,9325,805,,7936,,,Lib,PC,NDP
34,PE,203,"EGMONT",,,10158,1438,,7538,,,Lib,PC,NDP
34,PE,204,"HILLSBOROUGH",,,8897,1984,850,8638,,,Lib,PC,NDP
34,PE,205,"MALPEQUE",,,9381,1434,,7260,,,Lib,PC,NDP
34,QC,206,"ABITIBI",,,6251,10161,,22254,,,PC,NDP,Lib
34,QC,207,"AHUNTSIC",,1131,21056,5638,1665,21748,,,PC,Lib,NDP
34,QC,208,"ANJOU--RIVIÈRE-DES-PRAIRIES",,1217,17421,6687,483,27451,,,PC,Lib,NDP
34,QC,209,"ARGENTEUIL--PAPINEAU",,,11088,5772,959,23076,,,PC,Lib,NDP
34,QC,210,"BEAUCE",,,13641,2856,,36212,,,PC,Lib,NDP
34,QC,211,"BEAUHARNOIS--SALABERRY",,771,13351,5937,729,29149,,,PC,Lib,NDP
34,QC,212,"BELLECHASSE",,1010,11120,2762,,27621,,,PC,Lib,NDP
34,QC,213,"BERTHIER--MONTCALM",,2084,13624,5883,1292,29370,,,PC,Lib,NDP
34,QC,214,"BLAINVILLE--DEUX-MONTAGNES",,,13787,9243,1932,40810,,,PC,Lib,NDP
34,QC,215,"BONAVENTURE--ÎLES-DE-LA-MADELEINE",,,9296,1546,,15491,,,PC,Lib,NDP
34,QC,216,"BOURASSA",,396,18159,4797,1273,18979,,178,PC,Lib,NDP
34,QC,217,"BROME--MISSISQUOI",,,13733,5489,,22540,,,PC,Lib,NDP
34,QC,218,"CHAMBLY",,,10886,17268,856,25770,,,PC,NDP,Lib
34,QC,219,"CHAMPLAIN",,,7471,8792,,29788,,,PC,NDP,Lib
34,QC,220,"CHARLESBOURG",,,15727,7914,,35549,,,PC,Lib,NDP
34,QC,221,"CHARLEVOIX",,,5994,1819,600,33730,,,PC,Lib,NDP
34,QC,222,"CHICOUTIMI",,,8047,4870,,30699,,,PC,Lib,NDP
34,QC,223,"CHÂTEAUGUAY",,,16422,8282,2974,22439,,,PC,Lib,NDP
34,QC,224,"DRUMMOND",,,15380,5204,,23703,,,PC,Lib,NDP
34,QC,225,"DUVERNAY",,,12607,8147,368,33426,,480,PC,Lib,NDP
34,QC,226,"FRONTENAC",,511,6978,1785,,25872,,,PC,Lib,NDP
34,QC,227,"GASPÉ",,,9908,1504,710,16298,,,PC,Lib,NDP
34,QC,228,"GATINEAU--LA LIÈVRE",,,23507,8394,1024,21385,,,Lib,PC,NDP
34,QC,229,"HOCHELAGA--MAISONNEUVE",,800,14168,8583,1591,16246,,,PC,Lib,NDP
34,QC,230,"HULL--AYLMER",,,23218,7170,1354,14849,,,Lib,PC,NDP
34,QC,231,"JOLIETTE",,2290,12573,7232,658,27908,,,PC,Lib,NDP
34,QC,232,"JONQUIÈRE",,,5277,7026,,21523,,,PC,NDP,Lib
34,QC,233,"KAMOURASKA--RIVIÈRE-DU-LOUP",,685,10353,3257,192,20388,,,PC,Lib,NDP
34,QC,234,"LA PRAIRIE",,,19497,6228,1564,30834,,,PC,Lib,NDP
34,QC,235,"LAC-SAINT-JEAN",,,5390,6348,,23112,,,PC,NDP,Lib
34,QC,236,"LACHINE--LAC-SAINT-LOUIS",,858,25136,4518,654,25870,,,PC,Lib,NDP
34,QC,237,"LANGELIER",,1931,14843,10586,721,24555,,,PC,Lib,NDP
34,QC,238,"LASALLE--ÉMARD",,,23394,5458,634,21979,,,Lib,PC,NDP
34,QC,239,"LAURENTIDES",,,15752,7755,1657,31000,,,PC,Lib,NDP
34,QC,240,"LAURIER--SAINTE-MARIE",,1438,15956,8828,2505,12113,,,Lib,PC,NDP
34,QC,241,"LAVAL",,,18819,8546,468,26858,,,PC,Lib,NDP
34,QC,242,"LAVAL-DES-RAPIDES",,1511,14926,7397,224,27955,,,PC,Lib,NDP
34,QC,243,"LONGUEUIL",,,12328,10681,2476,29054,,,PC,Lib,NDP
34,QC,244,"LOTBINIÈRE",,,15067,8782,,26585,,,PC,Lib,NDP
34,QC,245,"LOUIS-HÉBERT",,,15469,8139,1515,37329,,,PC,Lib,NDP
34,QC,246,"LÉVIS",,,13002,11501,,33673,,445,PC,Lib,NDP
34,QC,247,"MANICOUAGAN",,,6355,4008,281,17126,,,PC,Lib,NDP
34,QC,248,"MATAPÉDIA--MATANE",,,11584,4253,,15962,,,PC,Lib,NDP
34,QC,249,"MERCIER",,,12942,10251,2260,30804,,,PC,Lib,NDP
34,QC,250,"MONTMORENCY--ORLÉANS",,,11578,7700,670,30578,,,PC,Lib,NDP
34,QC,251,"MOUNT ROYAL",,438,27354,2455,853,14601,,,Lib,PC,NDP
34,QC,252,"MÉGANTIC--COMPTON--STANSTEAD",,,11566,3195,,23246,,550,PC,Lib,NDP
34,QC,253,"NOTRE-DAME-DE-GRÂCE",,848,22928,5154,1382,11702,,,Lib,PC,NDP
34,QC,254,"OUTREMONT",,1342,15895,9379,1577,17597,,,PC,Lib,NDP
34,QC,255,"PAPINEAU--SAINT-MICHEL",,469,18122,5948,1767,13094,,,Lib,PC,NDP
34,QC,256,"PIERREFONDS--DOLLARD",,,22244,3854,1687,27532,,,PC,Lib,NDP
34,QC,257,"PONTIAC--GATINEAU--LABELLE",,,11589,6207,,20522,,,PC,Lib,NDP
34,QC,258,"PORTNEUF",,1607,11055,5100,,23893,,,PC,Lib,NDP
34,QC,259,"QUÉBEC-EST",,906,13732,7555,1235,29493,,,PC,Lib,NDP
34,QC,260,"RICHELIEU",,1896,8979,3154,457,32104,,,PC,Lib,NDP
34,QC,261,"RICHMOND--WOLFE",,,16813,3918,790,19451,,,PC,Lib,NDP
34,QC,262,"RIMOUSKI--TÉMISCOUATA",,,10561,2417,1210,23789,,,PC,Lib,NDP
34,QC,263,"ROBERVAL",,,4219,3318,723,26717,,,PC,Lib,NDP
34,QC,264,"ROSEMONT",,1383,13209,9163,4231,17127,,148,PC,Lib,NDP
34,QC,265,"SAINT-DENIS",,1107,19928,6151,1902,12843,,269,Lib,PC,NDP
34,QC,266,"SAINT-HENRI--WESTMOUNT",,900,16600,5235,1487,15673,,,Lib,PC,NDP
34,QC,267,"SAINT-HUBERT",,718,15209,9435,1354,25573,,,PC,Lib,NDP
34,QC,268,"SAINT-HYACINTHE--BAGOT",,,16289,6442,,25267,,,PC,Lib,NDP
34,QC,269,"SAINT-JEAN",,,14643,5786,1084,27685,,,PC,Lib,NDP
34,QC,270,"SAINT-LAURENT",,765,20418,4213,431,18287,,,Lib,PC,NDP
34,QC,271,"SAINT-LÉONARD",,833,23014,4663,231,17055,,,Lib,PC,NDP
34,QC,272,"SAINT-MAURICE",,,10168,12463,,18741,,,PC,NDP,Lib
34,QC,273,"SHEFFORD",,,23943,4242,,21445,,,Lib,PC,NDP
34,QC,274,"SHERBROOKE",,,12314,6373,1331,34538,,,PC,Lib,NDP
34,QC,275,"TERREBONNE",,,12422,7194,12037,35345,,,PC,Lib,Other
34,QC,276,"TROIS-RIVIÈRES",,,6727,5470,1075,29370,,,PC,Lib,NDP
34,QC,277,"TÉMISCAMINGUE",,,5843,15623,712,19106,,,PC,NDP,Lib
34,QC,278,"VAUDREUIL",,912,16393,6185,714,30392,,,PC,Lib,NDP
34,QC,279,"VERCHÈRES",,,8487,6772,1355,32317,,,PC,Lib,NDP
34,QC,280,"VERDUN--SAINT-PAUL",,1339,15207,6572,1149,20113,,,PC,Lib,NDP
34,SK,281,"KINDERSLEY--LLOYDMINSTER",,,5039,11198,,15089,2217,,PC,NDP,Lib
34,SK,282,"MACKENZIE",,,4988,15931,,12649,689,,NDP,PC,Lib
34,SK,283,"MOOSE JAW--LAKE CENTRE",,,5980,15916,287,15508,,,NDP,PC,Lib
34,SK,284,"PRINCE ALBERT--CHURCHILL RIVER",,,5007,17915,105,8234,490,,NDP,PC,Lib
34,SK,285,"REGINA--LUMSDEN",,,5840,21593,139,9934,,,NDP,PC,Lib
