election_id,prov_code,ed_id,ed_name,Bloc,Grn,Lib,NDP,Other,PC,Reform,1st,2nd,3rd
35,AB,1,"ATHABASCA",,312,8020,2489,195,6248,15350,Reform,Lib,PC
35,AB,2,"BEAVER RIVER",,,7542,1050,388,3854,17725,Reform,Lib,PC
35,AB,3,"CALGARY CENTRE",,484,15157,2149,2281,7466,22600,Reform,Lib,PC
35,AB,4,"CALGARY NORTH",,343,17899,1592,1937,10424,35508,Reform,Lib,PC
35,AB,5,"CALGARY NORTHEAST",,134,15011,1310,4164,5229,20602,Reform,Lib,PC
35,AB,6,"CALGARY SOUTHEAST",,,7642,1888,1702,11287,33564,Reform,PC,Lib
35,AB,7,"CALGARY SOUTHWEST",,301,11087,1099,1244,12642,41630,Reform,PC,Lib
35,AB,8,"CALGARY WEST",,347,15314,1194,1667,9090,30209,Reform,Lib,PC
35,AB,9,"CROWFOOT",,,4506,860,377,6431,23611,Reform,PC,Lib
35,AB,10,"EDMONTON EAST",,171,11922,7976,1623,2672,11807,Lib,Reform,NDP
35,AB,11,"EDMONTON NORTH",,,19536,3427,2610,4592,19334,Lib,Reform,PC
35,AB,12,"EDMONTON NORTHWEST",,119,12599,1671,4734,3485,12587,Lib,Reform,Other
35,AB,13,"EDMONTON SOUTHEAST",,149,23129,1988,1729,3203,19910,Lib,Reform,PC
35,AB,14,"EDMONTON SOUTHWEST",,,19570,2148,797,9385,26582,Reform,Lib,PC
35,AB,15,"EDMONTON--STRATHCONA",,286,19137,2513,2588,5617,19541,Reform,Lib,PC
35,AB,16,"ELK ISLAND",,,11589,1296,1581,5714,25726,Reform,Lib,PC
35,AB,17,"LETHBRIDGE",,,11870,1283,1833,7092,24530,Reform,Lib,PC
35,AB,18,"MACLEOD",,213,6196,712,200,6512,23828,Reform,PC,Lib
35,AB,19,"MEDICINE HAT",,,8555,1832,1251,6934,22439,Reform,Lib,PC
35,AB,20,"PEACE RIVER",,,6629,2344,1897,6144,25761,Reform,Lib,PC
35,AB,21,"RED DEER",,,6614,1313,1371,8006,31876,Reform,PC,Lib
35,AB,22,"ST. ALBERT",,,13860,1435,2860,5884,24964,Reform,Lib,PC
35,AB,23,"VEGREVILLE",,,5610,1175,1350,8180,19732,Reform,PC,Lib
35,AB,24,"WETASKIWIN",,,6914,1475,609,6124,26210,Reform,Lib,PC
35,AB,25,"WILD ROSE",,457,6902,1067,1655,7542,30986,Reform,PC,Lib
35,AB,26,"YELLOWHEAD",,,8964,1811,2041,5799,22790,Reform,Lib,PC
35,BC,27,"BURNABY--KINGSWAY",,,14056,18273,2467,5327,13389,NDP,Lib,Reform
