election_id,prov_code,ed_id,ed_name,CCF,Lib,Other,PC,SoCred,1st,2nd,3rd
21,AB,1,"ACADIA",,4186,,,5897,SoCred,Lib,Other
21,AB,2,"ATHABASKA",1738,7566,1198,1139,4982,Lib,SoCred,CCF
21,AB,3,"BATTLE RIVER",4337,1977,,,7708,SoCred,CCF,Lib
21,AB,4,"BOW RIVER",1530,4449,969,2558,8537,SoCred,Lib,PC
21,AB,5,"CALGARY EAST",3083,8555,,9641,5597,PC,Lib,SoCred
21,AB,6,"CALGARY WEST",,8619,,11457,6785,PC,Lib,SoCred
21,AB,7,"CAMROSE",2402,4497,,1448,7364,SoCred,Lib,CCF
21,AB,8,"EDMONTON EAST",2961,10964,4632,3816,7972,Lib,SoCred,Other
21,AB,9,"EDMONTON WEST",2285,14333,,8325,6215,Lib,PC,SoCred
21,AB,10,"JASPER--EDSON",3839,7288,,2053,6797,Lib,SoCred,CCF
21,AB,11,"LETHBRIDGE",1801,5760,,2460,8880,SoCred,Lib,PC
21,AB,12,"MACLEOD",1647,4066,,3314,7411,SoCred,Lib,PC
21,AB,13,"MEDICINE HAT",,6069,,2346,10086,SoCred,Lib,PC
21,AB,14,"PEACE RIVER",3202,7404,,1562,7727,SoCred,Lib,CCF
21,AB,15,"RED DEER",1710,3604,,3488,10549,SoCred,Lib,PC
21,AB,16,"VEGREVILLE",,8859,,,7128,Lib,SoCred,Other
21,AB,17,"WETASKIWIN",3154,6091,,3340,6774,SoCred,Lib,PC
21,BC,18,"BURNABY--RICHMOND",12553,12848,1558,6097,,Lib,CCF,PC
21,BC,19,"CARIBOO",5870,7330,,,,Lib,CCF,Other
21,BC,20,"COAST-CAPILANO",6253,15294,,4713,,Lib,CCF,PC
21,BC,21,"COMOX--ALBERNI",7785,,11397,,,Other,CCF,Lib
21,BC,22,"FRASER VALLEY",5573,12587,,4514,,Lib,CCF,PC
21,BC,23,"KAMLOOPS",5091,6399,,7682,,PC,Lib,CCF
21,BC,24,"KOOTENAY EAST",5448,5546,,2704,,Lib,CCF,PC
21,BC,25,"KOOTENAY WEST",9794,,,8319,,CCF,PC,Other
21,BC,26,"NANAIMO",9772,9196,,17507,,PC,CCF,Lib
21,BC,27,"NEW WESTMINSTER",9326,13904,,8338,1207,Lib,CCF,PC
21,BC,28,"SKEENA",4183,5847,,,,Lib,CCF,Other
21,BC,29,"VANCOUVER CENTRE",6382,10299,1547,5970,,Lib,CCF,PC
21,BC,30,"VANCOUVER EAST",14056,10154,1377,4261,,CCF,Lib,PC
21,BC,31,"VANCOUVER QUADRA",5908,10665,,16661,,PC,Lib,CCF
21,BC,32,"VANCOUVER SOUTH",10397,13082,,9462,,Lib,CCF,PC
21,BC,33,"VANCOUVER--BURRARD",8705,10967,,10676,,Lib,PC,CCF
21,BC,34,"VICTORIA",5048,19324,,10154,,Lib,PC,CCF
21,BC,35,"YALE",13298,5576,,11562,902,CCF,PC,Lib
21,MB,36,"BRANDON",,11263,1964,7150,,Lib,PC,Other
21,MB,37,"CHURCHILL",4595,6847,,3570,,Lib,CCF,PC
21,MB,38,"DAUPHIN",7089,7896,,2541,,Lib,CCF,PC
21,MB,39,"LISGAR",1470,9190,,5684,,Lib,PC,CCF
21,MB,40,"MARQUETTE",2984,10144,,4016,,Lib,PC,CCF
21,MB,41,"NORQUAY",4776,8430,,807,,Lib,CCF,PC
21,MB,42,"PORTAGE--NEEPAWA",2269,,9192,6819,,Other,PC,CCF
21,MB,43,"PROVENCHER",,6834,4008,,,Lib,Other,CCF
21,MB,44,"SELKIRK",7819,7593,,6158,,CCF,Lib,PC
21,MB,45,"SOURIS",1083,5495,,6108,,PC,Lib,CCF
21,MB,46,"SPRINGFIELD",4418,8253,1117,3494,,Lib,CCF,PC
21,MB,47,"ST. BONIFACE",5455,10766,,2557,,Lib,CCF,PC
21,MB,48,"WINNIPEG NORTH",12432,11962,5406,1816,,CCF,Lib,Other
21,MB,49,"WINNIPEG NORTH CENTRE",15389,9010,694,3434,,CCF,Lib,PC
21,MB,50,"WINNIPEG SOUTH",7765,16235,,9942,,Lib,PC,CCF
21,MB,51,"WINNIPEG SOUTH CENTRE",5632,14747,,6593,,Lib,PC,CCF
21,NB,52,"CHARLOTTE",,6197,,6139,,Lib,PC,Other
21,NB,53,"GLOUCESTER",,14759,,6391,,Lib,PC,Other
21,NB,54,"KENT",406,5754,3084,2496,,Lib,Other,PC
21,NB,55,"NORTHUMBERLAND",336,9840,533,6980,,Lib,PC,Other
21,NB,56,"RESTIGOUCHE--MADAWASKA",,15919,2172,6238,,Lib,PC,Other
21,NB,57,"ROYAL",933,7863,,9501,,PC,Lib,CCF
21,NB,58,"ST. JOHN--ALBERT",2445,18691,,17052,,Lib,PC,CCF
21,NB,59,"VICTORIA--CARLETON",,8539,,10429,,PC,Lib,Other
21,NB,60,"WESTMORLAND",3702,20649,,11696,,Lib,PC,CCF
21,NB,61,"YORK--SUNBURY",1628,12158,,11127,,Lib,PC,CCF
21,NL,62,"BONAVISTA--TWILLINGATE",,9744,,1415,,Lib,PC,Other
21,NL,63,"BURIN--BURGEO",,12590,,1053,,Lib,PC,Other
21,NL,64,"GRAND FALLS--WHITE BAY",,12301,,1879,,Lib,PC,Other
21,NL,65,"HUMBER--ST. GEORGE'S",,11930,,1451,,Lib,PC,Other
21,NL,66,"ST. JOHN'S EAST",197,7913,,9912,,PC,Lib,CCF
21,NL,67,"ST. JOHN'S WEST",,9828,,10344,,PC,Lib,Other
21,NL,68,"TRINITY--CONCEPTION",,10929,,3149,,Lib,PC,Other
21,NS,69,"ANNAPOLIS--KINGS",,13202,,13198,,Lib,PC,Other
21,NS,70,"ANTIGONISH--GUYSBOROUGH",,7586,,4385,,Lib,PC,Other
