election_id,prov_code,ed_id,ed_name,Con,Lib,NDP,Other,PC,Reform,SoCred,1st,2nd,3rd
28,ON,168,"YORK NORTH",,24054,7000,,15693,,,Lib,PC,NDP
28,ON,169,"YORK SOUTH",,11693,12357,,4499,,,NDP,Lib,PC
28,ON,170,"YORK WEST",,20416,16204,597,8344,,,Lib,NDP,PC
28,ON,171,"YORK--SCARBOROUGH",,37374,10724,,15458,,,Lib,PC,NDP
28,ON,172,"YORK--SIMCOE",,15906,6095,,13100,,,Lib,PC,NDP
28,PE,173,"CARDIGAN",,5623,203,,5717,,,PC,Lib,NDP
28,PE,174,"EGMONT",,5945,292,,7182,,,PC,Lib,NDP
28,PE,175,"HILLSBOROUGH",,6447,930,,8328,,,PC,Lib,NDP
28,PE,176,"MALPEQUE",,4839,211,,5049,,,PC,Lib,NDP
28,QC,177,"ABITIBI",,6606,515,,1796,,10884,SoCred,Lib,PC
28,QC,178,"AHUNTSIC",,23149,4977,1483,4807,,1243,Lib,NDP,PC
28,QC,179,"ARGENTEUIL",,15726,1696,,13566,,1158,Lib,PC,NDP
28,QC,180,"BEAUCE",,7752,639,260,6207,,13428,SoCred,Lib,PC
28,QC,181,"BEAUHARNOIS",,17203,1764,,8703,,1087,Lib,PC,NDP
28,QC,182,"BELLECHASSE",,9793,528,,2262,,11137,SoCred,Lib,PC
28,QC,183,"BERTHIER",,10818,1029,,8182,,2994,Lib,PC,SoCred
28,QC,184,"BONAVENTURE",,10144,282,680,3674,,4240,Lib,SoCred,PC
28,QC,185,"BOURASSA",339,19778,3443,,10939,,1401,Lib,PC,NDP
28,QC,186,"CHAMBLY",,22767,3394,,6739,,1430,Lib,PC,NDP
28,QC,187,"CHAMPLAIN",,9665,550,,6449,,9866,SoCred,Lib,PC
28,QC,188,"CHARLEVOIX",,8282,1070,,9487,,3831,PC,Lib,SoCred
28,QC,189,"CHICOUTIMI",,14054,879,,9811,,3151,Lib,PC,SoCred
28,QC,190,"COMPTON",,8615,851,,3987,,11961,SoCred,Lib,PC
28,QC,191,"DOLLARD",,34146,10485,,2391,,287,Lib,NDP,PC
28,QC,192,"DRUMMOND",,11667,723,,8342,,9545,Lib,SoCred,PC
28,QC,193,"DUVERNAY",,18701,16225,,1068,,1006,Lib,NDP,PC
28,QC,194,"FRONTENAC",,9863,1231,,3510,,12298,SoCred,Lib,PC
28,QC,195,"GAMELIN",,19051,5210,723,8866,,873,Lib,PC,NDP
28,QC,196,"GASPÉ",,9208,564,,6969,,3571,Lib,PC,SoCred
28,QC,197,"GATINEAU",,14348,1163,,7581,,3711,Lib,PC,SoCred
28,QC,198,"HOCHELAGA",,12080,2793,192,5720,,1122,Lib,PC,NDP
28,QC,199,"HULL",,22982,1151,337,3661,,5311,Lib,SoCred,PC
28,QC,200,"JOLIETTE",,12292,1620,,12464,,2391,PC,Lib,SoCred
28,QC,201,"KAMOURASKA",,7631,359,,4996,,8762,SoCred,Lib,PC
28,QC,202,"LABELLE",,15801,1699,,10152,,2215,Lib,PC,SoCred
28,QC,203,"LAC-SAINT-JEAN",,9325,1330,,1034,,8430,Lib,SoCred,NDP
28,QC,204,"LACHINE",,25989,7898,,6225,,220,Lib,NDP,PC
28,QC,205,"LAFONTAINE",,14786,3142,210,6412,,879,Lib,PC,NDP
28,QC,206,"LANGELIER",,11439,658,,8150,,9078,Lib,SoCred,PC
28,QC,207,"LAPOINTE",,11821,919,,8077,,4324,Lib,PC,SoCred
28,QC,208,"LAPRAIRIE",,31968,3551,,5316,,1288,Lib,PC,NDP
28,QC,209,"LASALLE",,26546,4097,,7018,,982,Lib,PC,NDP
28,QC,210,"LAURIER",,10040,843,4882,2827,,695,Lib,Other,PC
28,QC,211,"LAVAL",,24740,5807,2141,4801,,940,Lib,NDP,PC
28,QC,212,"LONGUEUIL",,19080,4254,635,5448,,2023,Lib,PC,NDP
28,QC,213,"LOTBINIÈRE",,9743,732,,8215,,11302,SoCred,Lib,PC
28,QC,214,"LOUIS-HÉBERT",,28220,2054,,8174,,5433,Lib,PC,SoCred
28,QC,215,"LÉVIS",,12227,1189,,9523,,9887,Lib,SoCred,PC
28,QC,216,"MAISONNEUVE",,15784,4588,,5522,,1233,Lib,PC,NDP
28,QC,217,"MANICOUAGAN",,13504,2463,,4539,,1992,Lib,PC,NDP
28,QC,218,"MATANE",,9207,639,,6055,,1159,Lib,PC,SoCred
28,QC,219,"MERCIER",,19077,3041,888,10571,,3011,Lib,PC,NDP
28,QC,220,"MISSISQUOI",,12905,803,,11705,,5205,Lib,PC,SoCred
28,QC,221,"MONTMORENCY",,17327,775,649,6555,,16114,Lib,SoCred,PC
28,QC,222,"MOUNT ROYAL",,37402,1583,182,1965,,80,Lib,PC,NDP
28,QC,223,"NOTRE-DAME-DE-GRÂCE",,25959,7123,,2466,,,Lib,NDP,PC
28,QC,224,"OUTREMONT",,24219,3511,,3059,,,Lib,NDP,PC
28,QC,225,"PAPINEAU",,14379,2572,537,4168,,1094,Lib,PC,NDP
28,QC,226,"PONTIAC",,10250,827,,7392,,2420,Lib,PC,SoCred
28,QC,227,"PORTNEUF",,13965,1126,,4519,,18328,SoCred,Lib,PC
28,QC,228,"QUÉBEC-EST",,14945,953,,4607,,13807,Lib,SoCred,PC
28,QC,229,"RICHELIEU",,15350,1300,395,12470,,1966,Lib,PC,SoCred
28,QC,230,"RICHMOND",,8870,608,,3527,,11853,SoCred,Lib,PC
28,QC,231,"RIMOUSKI",,12073,,,9445,,2937,Lib,PC,SoCred
28,QC,232,"ROBERVAL",,7727,241,,1951,,8811,SoCred,Lib,PC
28,QC,233,"SAINT-DENIS",,17022,1908,,3653,,1165,Lib,PC,NDP
28,QC,234,"SAINT-HENRI",,12792,1491,4299,972,,608,Lib,Other,NDP
28,QC,235,"SAINT-HYACINTHE",,15601,878,,16389,,1682,PC,Lib,SoCred
28,QC,236,"SAINT-JACQUES",,9701,971,625,4238,,705,Lib,PC,NDP
28,QC,237,"SAINT-JEAN",,15878,3332,214,9715,,1373,Lib,PC,NDP
28,QC,238,"SAINT-MAURICE",,13895,550,,4570,,12198,Lib,SoCred,PC
28,QC,239,"SAINT-MICHEL",,22307,3176,711,4685,,2515,Lib,PC,NDP
28,QC,240,"SAINTE-MARIE",,7449,1149,2146,9528,,884,PC,Lib,Other
28,QC,241,"SHEFFORD",,12158,574,,5718,,12633,SoCred,Lib,PC
28,QC,242,"SHERBROOKE",,15270,1563,,5946,,15172,Lib,SoCred,PC
28,QC,243,"TERREBONNE",,21191,3860,824,6934,,1363,Lib,PC,NDP
28,QC,244,"TROIS-RIVIÈRES",,17592,1724,930,10501,,7305,Lib,PC,SoCred
28,QC,245,"TÉMISCAMINGUE",,6603,556,,1774,,12532,SoCred,Lib,PC
28,QC,246,"TÉMISCOUATA",,10605,360,,8630,,3029,Lib,PC,SoCred
28,QC,247,"VAUDREUIL",,29830,2905,,7654,,,Lib,PC,NDP
28,QC,248,"VERDUN",,22436,2813,,3410,,1004,Lib,PC,NDP
28,QC,249,"VILLENEUVE",,7994,886,,2182,,10073,SoCred,Lib,PC
28,QC,250,"WESTMOUNT",,31104,2303,,5928,,,Lib,PC,NDP
28,SK,251,"ASSINIBOIA",,9636,9295,,9541,,,Lib,PC,NDP
28,SK,252,"BATTLEFORD--KINDERSLEY",,7872,10583,,9941,,,NDP,PC,Lib
28,SK,253,"MACKENZIE",,4199,7512,,8578,,,PC,NDP,Lib
28,SK,254,"MEADOW LAKE",,4932,6080,689,7688,,,PC,NDP,Lib
28,SK,255,"MOOSE JAW",,7000,11982,,10496,,,NDP,PC,Lib
28,SK,256,"PRINCE ALBERT",,5025,8979,,17850,,,PC,NDP,Lib
28,SK,257,"QU'APPELLE--MOOSE MOUNTAIN",,8299,8765,,12429,,,PC,NDP,Lib
28,SK,258,"REGINA EAST",,11986,13641,230,13449,,,NDP,PC,Lib
28,SK,259,"REGINA--LAKE CENTRE",,13104,17102,,13572,,,NDP,PC,Lib
28,SK,260,"SASKATOON--BIGGAR",,8071,15928,,13309,,,NDP,PC,Lib
28,SK,261,"SASKATOON--HUMBOLDT",,15210,14655,,14444,,,Lib,NDP,PC
28,SK,262,"SWIFT CURRENT--MAPLE CREEK",,6930,10207,,11237,,,PC,NDP,Lib
28,SK,263,"YORKTON--MELVILLE",,10068,13212,,10699,,,NDP,PC,Lib
28,YK,264,"YUKON",,3048,325,,3110,,,PC,Lib,NDP
