election_id,prov_code,ed_id,ed_name,CCF,Con,Lib,NDP,Other,PC,SoCred,1st,2nd,3rd
19,QC,219,"THREE RIVERS",,,9860,,8734,,,Lib,Other,CCF
19,QC,220,"TÉMISCOUATA",,,9615,,1518,2063,,Lib,PC,Other
19,QC,221,"VAUDREUIL--SOULANGES",,,4381,,2500,2210,,Lib,Other,PC
19,QC,222,"VERDUN",3817,,8372,,11663,3693,,Other,Lib,CCF
19,QC,223,"WRIGHT",,,7260,,1172,2310,,Lib,PC,Other
19,SK,224,"ASSINIBOIA",4812,,6846,,,3516,,Lib,CCF,PC
19,SK,225,"HUMBOLDT",7536,,8808,,,,,Lib,CCF,Con
19,SK,226,"KINDERSLEY",3966,,5068,,,,3922,Lib,CCF,SoCred
19,SK,227,"LAKE CENTRE",4793,,5694,,,5974,,PC,Lib,CCF
19,SK,228,"MACKENZIE",10207,,9211,,819,,,CCF,Lib,Other
19,SK,229,"MAPLE CREEK",5102,,5157,,,3182,,Lib,CCF,PC
19,SK,230,"MELFORT",11358,,8019,,,,1732,CCF,Lib,SoCred
19,SK,231,"MELVILLE",9042,,10158,,1837,,,Lib,CCF,Other
19,SK,232,"MOOSE JAW",,,9373,,,7807,,Lib,PC,CCF
19,SK,233,"NORTH BATTLEFORD",,,7868,,10500,,,Other,Lib,Con
19,SK,234,"PRINCE ALBERT",1993,,8310,,7777,,,Lib,Other,CCF
19,SK,235,"QU'APPELLE",,,6775,,,8236,,PC,Lib,Con
19,SK,236,"REGINA CITY",2855,602,14434,,,12475,,Lib,PC,CCF
19,SK,237,"ROSETOWN--BIGGAR",7714,,4912,,,2381,,CCF,Lib,PC
19,SK,238,"ROSTHERN",5456,,6612,,,,999,Lib,CCF,SoCred
19,SK,239,"SASKATOON CITY",,,8346,,14109,,,Other,Lib,Con
19,SK,240,"SWIFT CURRENT",5507,,6042,,,3965,,Lib,CCF,PC
19,SK,241,"THE BATTLEFORDS",,,7195,,4512,,5453,Lib,SoCred,Other
19,SK,242,"WEYBURN",8509,,7554,,269,,,CCF,Lib,Other
19,SK,243,"WOOD MOUNTAIN",5247,,6375,,3775,,,Lib,CCF,Other
19,SK,244,"YORKTON",7658,,6773,,1047,4690,,CCF,Lib,PC
19,YK,245,"YUKON",,,793,,,915,,PC,Lib,Con
