election_id,prov_code,ed_id,ed_name,CCF,Lib,Other,PC,SoCred,1st,2nd,3rd
22,AB,1,"ACADIA",1856,7503,,,7956,SoCred,Lib,CCF
22,AB,2,"ATHABASKA",990,7956,1168,,5945,Lib,SoCred,Other
22,AB,3,"BATTLE RIVER--CAMROSE",2261,4531,426,1784,9238,SoCred,Lib,CCF
22,AB,4,"BOW RIVER",,4698,671,2698,7320,SoCred,Lib,PC
22,AB,5,"CALGARY NORTH",1578,8191,426,11002,8293,PC,SoCred,Lib
22,AB,6,"CALGARY SOUTH",1501,8689,339,12491,6829,PC,Lib,SoCred
22,AB,7,"EDMONTON EAST",1805,7574,912,2651,8802,SoCred,Lib,PC
22,AB,8,"EDMONTON WEST",1977,11301,362,4851,7776,Lib,SoCred,PC
22,AB,9,"EDMONTON--STRATHCONA",2182,8901,,4012,8750,Lib,SoCred,PC
22,AB,10,"JASPER--EDSON",3242,6938,987,,7639,SoCred,Lib,CCF
22,AB,11,"LETHBRIDGE",,5676,,1783,9737,SoCred,Lib,PC
22,AB,12,"MACLEOD",721,4298,620,3625,8685,SoCred,Lib,PC
22,AB,13,"MEDICINE HAT",,8919,,1161,9305,SoCred,Lib,PC
22,AB,14,"PEACE RIVER",2079,7599,867,,10151,SoCred,Lib,CCF
22,AB,15,"RED DEER",1136,5076,306,1474,8792,SoCred,Lib,PC
22,AB,16,"VEGREVILLE",,8023,2346,,6709,Lib,SoCred,Other
22,AB,17,"WETASKIWIN",2245,3731,,1918,6920,SoCred,Lib,CCF
22,BC,18,"BURNABY--COQUITLAM",7232,4256,627,2124,4987,CCF,SoCred,Lib
22,BC,19,"BURNABY--RICHMOND",6381,7021,792,,6334,Lib,CCF,SoCred
22,BC,20,"CARIBOO",4314,5160,,,5562,SoCred,Lib,CCF
22,BC,21,"COAST-CAPILANO",5361,13614,673,2936,7092,Lib,SoCred,CCF
22,BC,22,"COMOX--ALBERNI",6115,4609,850,1790,4275,CCF,Lib,SoCred
22,BC,23,"ESQUIMALT--SAANICH",3484,4071,,9537,3578,PC,Lib,SoCred
22,BC,24,"FRASER VALLEY",3527,9318,635,,9618,SoCred,Lib,CCF
