election_id,prov_code,ed_id,ed_name,Bloc,Con,Grn,Lib,NDP,Other,1st,2nd,3rd
41,MB,46006,"Kildonan--St. Paul",,22670,1020,3199,11727,363,Con,NDP,Lib
41,MB,46007,"Portage--Lisgar",,26899,1996,2221,3478,805,Con,NDP,Lib
41,MB,46008,"Provencher",,27820,1164,2645,7051,725,Con,NDP,Lib
41,MB,46009,"Saint Boniface",,21737,1245,13314,6935,,Con,Lib,NDP
41,MB,46010,"Selkirk--Interlake",,26848,1423,1980,10933,,Con,NDP,Lib
41,MB,46011,"Winnipeg Centre",,7173,1830,2872,13928,152,NDP,Con,Lib
41,MB,46012,"Winnipeg North",,6701,458,9097,9053,118,Lib,NDP,Con
41,MB,46013,"Winnipeg South",,22840,889,14296,5693,,Con,Lib,NDP
41,MB,46014,"Winnipeg South Centre",,15506,1383,14784,7945,321,Con,Lib,NDP
41,NB,13001,"Acadie--Bathurst",,7456,,6491,32067,,NDP,Con,Lib
41,NB,13002,"Beauséjour",,14811,1913,17399,10397,,Lib,Con,NDP
41,NB,13003,"Fredericton",,21573,1790,10336,10626,266,Con,NDP,Lib
41,NB,13004,"Fundy Royal",,21206,1757,3668,9845,,Con,NDP,Lib
41,NB,13005,"Madawaska--Restigouche",,14224,612,12309,6562,1290,Con,Lib,NDP
41,NB,13006,"Miramichi",,16112,735,6800,7097,,Con,NDP,Lib
41,NB,13007,"Moncton--Riverview--Dieppe",,17408,2016,15247,14053,,Con,Lib,NDP
41,NB,13008,"New Brunswick Southwest",,18066,1646,4320,7413,450,Con,NDP,Lib
41,NB,13009,"Saint John",,18456,1017,5964,11382,294,Con,NDP,Lib
41,NB,13010,"Tobique--Mactaquac",,21108,831,5337,6388,,Con,NDP,Lib
41,NL,10001,"Avalon",,14749,218,16008,5157,276,Lib,Con,NDP
41,NL,10002,"Bonavista--Gander--Grand Falls--Windsor",,8595,279,17977,4306,,Lib,Con,NDP
41,NL,10003,"Humber--St. Barbe--Baie Verte",,7559,253,17119,4751,332,Lib,Con,NDP
41,NL,10004,"Labrador",,4256,139,4177,2120,,Con,Lib,NDP
41,NL,10005,"Random--Burin--St. George's",,8322,307,12914,4465,,Lib,Con,NDP
41,NL,10006,"St. John's East",,9198,467,3019,31388,,NDP,Con,Lib
41,NL,10007,"St. John's South--Mount Pearl",,8883,291,11130,18681,,NDP,Lib,Con
41,NS,12001,"Cape Breton--Canso",,10873,1141,16478,6984,,Lib,Con,NDP
41,NS,12002,"Central Nova",,21593,1406,5614,9412,,Con,NDP,Lib
41,NS,12003,"Dartmouth--Cole Harbour",,10702,1662,15181,15678,,NDP,Lib,Con
41,NS,12004,"Halifax",,8276,2020,11793,23746,152,NDP,Lib,Con
41,NS,12005,"Halifax West",,13782,1931,16230,13239,,Lib,Con,NDP
41,NS,12006,"Kings--Hants",,14714,1520,15887,8043,,Lib,Con,NDP
