election_id,prov_code,ed_id,ed_name,Con,Lib,Other,Progressive,1st,2nd,3rd
14,AB,1,"BATTLE RIVER",1726,1397,,12247,Progressive,Con,Lib
14,AB,2,"BOW RIVER",3579,,369,11527,Progressive,Con,Other
14,AB,3,"CALGARY WEST",7353,1351,7369,,Other,Con,Lib
14,AB,4,"EAST CALGARY",4237,3684,6135,,Other,Con,Lib
14,AB,5,"EDMONTON EAST",3139,4147,,6094,Progressive,Lib,Con
14,AB,6,"EDMONTON WEST",4441,8603,,10011,Progressive,Lib,Con
14,AB,7,"LETHBRIDGE",1328,615,3170,4961,Progressive,Other,Con
14,AB,8,"MACLEOD",1767,922,1407,6086,Progressive,Con,Other
14,AB,9,"MEDICINE HAT",1135,2698,,10295,Progressive,Lib,Con
14,AB,10,"RED DEER",2644,2207,10849,,Other,Con,Lib
14,AB,11,"STRATHCONA",2925,,1078,7319,Progressive,Con,Other
14,AB,12,"VICTORIA",907,1780,11402,,Other,Lib,Con
14,BC,13,"BURRARD",12240,6960,2699,,Con,Lib,Other
14,BC,14,"CARIBOO",3879,,,7185,Progressive,Con,Other
14,BC,15,"COMOX--ALBERNI",2935,,579,4170,Progressive,Con,Other
14,BC,16,"FRASER VALLEY",4092,4307,,,Lib,Con,Other
14,BC,17,"KOOTENAY EAST",2203,2339,,1591,Lib,Con,Progressive
14,BC,18,"KOOTENAY WEST",3890,1117,,4790,Progressive,Con,Lib
14,BC,19,"NANAIMO",6897,4159,3958,,Con,Lib,Other
14,BC,20,"NEW WESTMINSTER",5520,3482,3699,,Con,Other,Lib
14,BC,21,"SKEENA",3223,3261,,,Lib,Con,Other
14,BC,22,"VANCOUVER CENTRE",10493,5538,1866,39,Con,Lib,Other
14,BC,23,"VANCOUVER SOUTH",4893,4120,3637,312,Con,Lib,Other
14,BC,24,"VICTORIA CITY",7485,5033,,,Con,Lib,Other
14,BC,25,"YALE",6475,5933,,,Con,Lib,Other
14,MB,26,"BRANDON",4067,404,,9596,Progressive,Con,Lib
14,MB,27,"DAUPHIN",2138,,,7779,Progressive,Con,Other
14,MB,28,"LISGAR",3296,,,4460,Progressive,Con,Other
14,MB,29,"MACDONALD",2036,1035,,5989,Progressive,Con,Lib
14,MB,30,"MARQUETTE",,553,4307,9873,Progressive,Other,Lib
14,MB,31,"NEEPAWA",2147,,,7876,Progressive,Con,Other
14,MB,32,"NELSON",1319,,,2814,Progressive,Con,Other
14,MB,33,"PORTAGE LA PRAIRIE",4137,,139,4314,Progressive,Con,Other
14,MB,34,"PROVENCHER",,5366,1428,,Lib,Other,Con
14,MB,35,"SELKIRK",2347,1239,4740,6529,Progressive,Other,Con
14,MB,36,"SOURIS",3714,,,7380,Progressive,Con,Other
