election_id,prov_code,ed_id,ed_name,Lib,NDP,Other,PC,SoCred,1st,2nd,3rd
26,AB,1,"ACADIA",1995,840,,10616,7018,PC,SoCred,Lib
26,AB,2,"ATHABASKA",5416,1045,,12074,3601,PC,Lib,SoCred
26,AB,3,"BATTLE RIVER--CAMROSE",2752,1283,,15565,5984,PC,SoCred,Lib
26,AB,4,"BOW RIVER",4589,1481,,11461,7460,PC,SoCred,Lib
26,AB,5,"CALGARY NORTH",14653,4792,,21966,15386,PC,SoCred,Lib
26,AB,6,"CALGARY SOUTH",21619,3760,,19760,8753,Lib,PC,SoCred
26,AB,7,"EDMONTON EAST",7950,3645,340,13582,7057,PC,Lib,SoCred
26,AB,8,"EDMONTON WEST",20720,4091,,26578,11466,PC,Lib,SoCred
26,AB,9,"EDMONTON--STRATHCONA",16195,4464,,18880,13841,PC,Lib,SoCred
26,AB,10,"JASPER--EDSON",4833,1457,,14776,5238,PC,SoCred,Lib
26,AB,11,"LETHBRIDGE",4284,1277,193,11475,9271,PC,SoCred,Lib
26,AB,12,"MACLEOD",2866,1143,,9785,7795,PC,SoCred,Lib
26,AB,13,"MEDICINE HAT",3734,1271,,10829,11080,SoCred,PC,Lib
26,AB,14,"PEACE RIVER",3059,1760,,16111,6564,PC,SoCred,Lib
26,AB,15,"RED DEER",2702,1082,,11149,12182,SoCred,PC,Lib
26,AB,16,"VEGREVILLE",1579,1132,722,12859,2777,PC,SoCred,Lib
26,AB,17,"WETASKIWIN",2527,1252,,11601,6483,PC,SoCred,Lib
26,BC,18,"BURNABY--COQUITLAM",14148,19067,,3990,3917,NDP,Lib,PC
26,BC,19,"BURNABY--RICHMOND",15568,16578,,7138,4312,NDP,Lib,PC
26,BC,20,"CARIBOO",8543,4461,,8304,9335,SoCred,Lib,PC
26,BC,21,"COAST-CAPILANO",27177,11731,682,10206,4160,Lib,NDP,PC
26,BC,22,"COMOX--ALBERNI",9217,13449,,6099,2428,NDP,Lib,PC
26,BC,23,"ESQUIMALT--SAANICH",11187,7193,,13772,4621,PC,Lib,NDP
26,BC,24,"FRASER VALLEY",9226,9735,232,7500,11500,SoCred,NDP,Lib
26,BC,25,"KAMLOOPS",8359,6860,,8604,5394,PC,Lib,NDP
26,BC,26,"KOOTENAY EAST",6165,5395,,3977,2800,Lib,NDP,PC
26,BC,27,"KOOTENAY WEST",4752,8595,,5122,4455,NDP,PC,Lib
26,BC,28,"NANAIMO--COWICHAN--THE ISLANDS",6782,12280,,6481,2272,NDP,Lib,PC
26,BC,29,"NEW WESTMINSTER",17086,23609,,13908,9280,NDP,Lib,PC
26,BC,30,"OKANAGAN BOUNDARY",6453,6425,,10031,7430,PC,SoCred,Lib
26,BC,31,"OKANAGAN--REVELSTOKE",3821,3554,,5800,3314,PC,Lib,NDP
26,BC,32,"SKEENA",4860,10743,,2270,2353,NDP,Lib,SoCred
26,BC,33,"VANCOUVER CENTRE",9472,5826,,7353,1430,Lib,PC,NDP
26,BC,34,"VANCOUVER EAST",5538,12688,,3335,1804,NDP,Lib,PC
26,BC,35,"VANCOUVER KINGSWAY",8154,13966,,4301,3145,NDP,Lib,PC
26,BC,36,"VANCOUVER QUADRA",15160,5324,,13756,2085,Lib,PC,NDP
26,BC,37,"VANCOUVER SOUTH",19140,9649,345,9374,3960,Lib,NDP,PC
26,BC,38,"VANCOUVER--BURRARD",12048,9998,127,7678,2150,Lib,NDP,PC
26,BC,39,"VICTORIA",15040,5757,3460,13502,5701,Lib,PC,NDP
26,MB,40,"BRANDON--SOURIS",7011,1514,,18100,3305,PC,Lib,SoCred
26,MB,41,"CHURCHILL",7253,2990,,11707,,PC,Lib,NDP
26,MB,42,"DAUPHIN",5526,1148,,7541,3334,PC,Lib,SoCred
26,MB,43,"LISGAR",5167,416,,9698,4099,PC,Lib,SoCred
26,MB,44,"MARQUETTE",6709,981,,11729,2036,PC,Lib,SoCred
26,MB,45,"PORTAGE--NEEPAWA",8398,1551,826,12532,1484,PC,Lib,NDP
26,MB,46,"PROVENCHER",5351,,,6729,2512,PC,Lib,SoCred
26,MB,47,"SELKIRK",6937,2211,,10096,718,PC,Lib,NDP
26,MB,48,"SPRINGFIELD",5532,3648,,9552,1358,PC,Lib,NDP
26,MB,49,"ST. BONIFACE",13547,6184,,9716,3859,Lib,PC,NDP
26,MB,50,"WINNIPEG NORTH",16081,18512,,14391,1729,NDP,Lib,PC
26,MB,51,"WINNIPEG NORTH CENTRE",7077,13619,,7814,1026,NDP,PC,Lib
26,MB,52,"WINNIPEG SOUTH",24467,7867,,22316,1515,Lib,PC,NDP
26,MB,53,"WINNIPEG SOUTH CENTRE",15849,6011,,17092,1182,PC,Lib,NDP
26,NB,54,"CHARLOTTE",6279,118,,5284,159,Lib,PC,SoCred
26,NB,55,"GLOUCESTER",13344,,,4515,5365,Lib,SoCred,PC
26,NB,56,"KENT",5971,226,,3095,705,Lib,PC,SoCred
