election_id,prov_code,ed_id,ed_name,Con,Lib,Other,PC,1st,2nd,3rd
3,BC,1,"CARIBOO",,,40,192,PC,Other,Con
3,BC,2,"NEW WESTMINSTER",,162,,142,Lib,PC,Other
3,BC,3,"VANCOUVER",,209,121,,Lib,Other,Con
3,BC,4,"VICTORIA-1",,,603,,Other,Con,Lib
3,BC,5,"VICTORIA-2",,308,97,,Lib,Other,Con
3,BC,6,"YALE",89,,20,,Con,Other,Lib
3,MB,7,"LISGAR",285,,216,,Con,Other,Lib
3,MB,8,"MARQUETTE",,744,,,Lib,Other,Con
3,MB,9,"PROVENCHER",,,264,,Other,Con,Lib
3,MB,10,"SELKIRK",,225,329,,Other,Lib,Con
3,NB,11,"ALBERT",,810,760,,Lib,Other,Con
3,NB,12,"CARLETON",,,,,Other,Con,Lib
3,NB,13,"CHARLOTTE",,1518,,1222,Lib,PC,Other
3,NB,14,"CITY AND COUNTY OF ST. JOHN-1",,2261,,,Lib,Other,Con
3,NB,15,"CITY AND COUNTY OF ST. JOHN-2",,2826,1561,,Lib,Other,Con
3,NB,16,"CITY OF ST. JOHN",,1772,591,,Lib,Other,Con
3,NB,17,"GLOUCESTER",,,,,Other,Con,Lib
3,NB,18,"KENT",,1072,1570,,Other,Lib,Con
3,NB,19,"KING'S",1651,,1389,,Con,Other,Lib
3,NB,20,"NORTHUMBERLAND",,,2132,,Other,Con,Lib
3,NB,21,"QUEEN'S",,621,165,,Lib,Other,Con
3,NB,22,"RESTIGOUCHE",,,,,Other,Con,Lib
3,NB,23,"SUNBURY",,556,495,,Lib,Other,Con
3,NB,24,"VICTORIA",,,429,868,PC,Other,Con
3,NB,25,"WESTMORLAND",,,,,Other,Con,Lib
3,NB,26,"YORK",,,,,Other,Con,Lib
3,NS,27,"ANNAPOLIS",,878,220,,Lib,Other,Con
3,NS,28,"ANTIGONISH",,,,,Other,Con,Lib
3,NS,29,"CAPE BRETON-1",,1136,,,Lib,Other,Con
3,NS,30,"CAPE BRETON-2",1251,,,1108,Con,PC,Other
3,NS,31,"COLCHESTER",,1313,,1429,PC,Lib,Other
3,NS,32,"CUMBERLAND",1580,,1201,,Con,Other,Lib
3,NS,33,"DIGBY",631,,,1168,PC,Con,Other
3,NS,34,"GUYSBOROUGH",,759,,544,Lib,PC,Other
3,NS,35,"HALIFAX-1",,,2979,,Other,Con,Lib
3,NS,36,"HALIFAX-2",,,4020,,Other,Con,Lib
3,NS,37,"HANTS",1341,1433,,,Lib,Con,Other
3,NS,38,"INVERNESS",,1223,,1102,Lib,PC,Other
3,NS,39,"KINGS",,1988,,,Lib,Other,Con
3,NS,40,"LUNENBURG",,,,,Other,Con,Lib
3,NS,41,"PICTOU-1",2110,2124,,,Lib,Con,Other
3,NS,42,"PICTOU-2",,2178,,2123,Lib,PC,Other
3,NS,43,"QUEENS",,,,,Other,Con,Lib
3,NS,44,"RICHMOND",,564,486,,Lib,Other,Con
3,NS,45,"SHELBURNE",,,,,Other,Con,Lib
3,NS,46,"VICTORIA",,,,,Other,Con,Lib
3,NS,47,"YARMOUTH",,1192,762,,Lib,Other,Con
3,ON,48,"ADDINGTON",1275,,982,,Con,Other,Lib
3,ON,49,"ALGOMA",,436,276,,Lib,Other,Con
3,ON,50,"BOTHWELL",,1600,1137,,Lib,Other,Con
3,ON,51,"BRANT NORTH",,,,,Other,Con,Lib
3,ON,52,"BRANT SOUTH",,1463,1019,,Lib,Other,Con
3,ON,53,"BROCKVILLE",868,910,,,Lib,Con,Other
3,ON,54,"BRUCE NORTH",,,,,Other,Con,Lib
3,ON,55,"BRUCE SOUTH",,2312,1991,,Lib,Other,Con
3,ON,56,"CARDWELL",1204,,1140,,Con,Other,Lib
3,ON,57,"CARLETON",870,,978,,Other,Con,Lib
3,ON,58,"CORNWALL",,471,,448,Lib,PC,Other
3,ON,59,"DUNDAS",,,2705,,Other,Con,Lib
3,ON,60,"DURHAM EAST",,1373,722,,Lib,Other,Con
3,ON,61,"DURHAM WEST",,1281,736,,Lib,Other,Con
3,ON,62,"ELGIN EAST",,1886,1704,,Lib,Other,Con
3,ON,63,"ELGIN WEST",,1216,891,,Lib,Other,Con
3,ON,64,"ESSEX",,2508,1763,,Lib,Other,Con
3,ON,65,"FRONTENAC",1172,,696,,Con,Other,Lib
3,ON,66,"GLENGARRY",,1288,612,,Lib,Other,Con
3,ON,67,"GRENVILLE SOUTH",995,1106,,,Lib,Con,Other
3,ON,68,"GREY EAST",1566,,1121,,Con,Other,Lib
3,ON,69,"GREY NORTH",,1320,1241,,Lib,Other,Con
3,ON,70,"GREY SOUTH",,1248,863,,Lib,Other,Con
3,ON,71,"HALDIMAND",,,,,Other,Con,Lib
3,ON,72,"HALTON",,1441,,1464,PC,Lib,Other
3,ON,73,"HAMILTON-1",,2086,1515,,Lib,Other,Con
3,ON,74,"HAMILTON-2",,2083,1518,,Lib,Other,Con
3,ON,75,"HASTINGS EAST",1049,,978,,Con,Other,Lib
3,ON,76,"HASTINGS NORTH",847,,752,,Con,Other,Lib
3,ON,77,"HASTINGS WEST",414,,49,,Con,Other,Lib
3,ON,78,"HURON CENTRE",,1510,730,,Lib,Other,Con
3,ON,79,"HURON NORTH",,,1510,1655,PC,Other,Con
3,ON,80,"HURON SOUTH",,1522,1436,,Lib,Other,Con
3,ON,81,"KENT",1895,,1823,,Con,Other,Lib
3,ON,82,"KINGSTON",,,801,839,PC,Other,Con
3,ON,83,"LAMBTON",,,,,Other,Con,Lib
3,ON,84,"LANARK NORTH",,,,,Other,Con,Lib
3,ON,85,"LANARK SOUTH",1318,,889,,Con,Other,Lib
3,ON,86,"LEEDS NORTH AND GRENVILLE NORTH",785,,,918,PC,Con,Other
