election_id,prov_code,ed_id,ed_name,Bloc,Con,Grn,Lib,NDP,Other,1st,2nd,3rd
40,QC,24011,"Brossard--La Prairie",19034,11062,1816,19103,7452,157,Lib,Bloc,Con
40,QC,24012,"Chambly--Borduas",31773,9564,2460,10649,8998,,Bloc,Lib,Con
40,QC,24013,"Charlesbourg--Haute-Saint-Charles",14602,20566,1231,7039,6542,,Con,Bloc,Lib
40,QC,24014,"Montmorency--Charlevoix--Haute-Côte-Nord",21068,11789,1147,5769,3332,,Bloc,Con,Lib
40,QC,24015,"Châteauguay--Saint-Constant",25086,9827,1755,10104,8261,,Bloc,Lib,Con
40,QC,24016,"Chicoutimi--Le Fjord",19737,16680,1193,6425,3742,,Bloc,Con,Lib
40,QC,24017,"Compton--Stanstead",20332,9445,2368,10946,5483,,Bloc,Lib,Con
40,QC,24018,"Drummond",17613,11490,1144,7697,7460,,Bloc,Con,Lib
40,QC,24019,"Gaspésie--Îles-de-la-Madeleine",14636,8334,1136,9840,2549,,Bloc,Lib,Con
40,QC,24020,"Gatineau",15189,8762,1342,13193,13612,,Bloc,NDP,Lib
40,QC,24021,"Hochelaga",22720,4201,1946,9442,6600,774,Bloc,Lib,NDP
40,QC,24022,"Honoré-Mercier",13871,7549,1380,21544,4986,,Lib,Bloc,Con
40,QC,24023,"Hull--Aylmer",11625,7996,2784,19750,10454,121,Lib,Bloc,NDP
40,QC,24024,"Jeanne-Le Ber",17144,5494,2345,15841,7708,577,Bloc,Lib,NDP
40,QC,24025,"Joliette",28040,9540,2588,7769,5579,,Bloc,Con,Lib
40,QC,24026,"Jonquière--Alma",19035,26639,,2616,2475,,Con,Bloc,Lib
40,QC,24027,"Lac-Saint-Louis",2953,12085,4415,23842,8105,,Lib,Con,NDP
40,QC,24028,"La Pointe-de-l'Île",25976,5179,1340,7403,5975,438,Bloc,Lib,NDP
40,QC,24029,"LaSalle--Émard",10384,6802,1579,17226,5622,818,Lib,Bloc,Con
40,QC,24030,"Laurentides--Labelle",24956,6914,2094,14143,4896,,Bloc,Lib,Con
40,QC,24031,"Laurier--Sainte-Marie",24103,2320,3801,8798,8209,744,Bloc,Lib,NDP
40,QC,24032,"Laval",19085,9101,1607,14190,6289,221,Bloc,Lib,Con
40,QC,24033,"Laval--Les Îles",12576,11017,1752,21603,6124,336,Lib,Bloc,Con
40,QC,24034,"Lévis--Bellechasse",13747,24785,1370,8130,5856,113,Con,Bloc,Lib
40,QC,24035,"Longueuil--Pierre-Boucher",23118,7210,1752,10920,7021,103,Bloc,Lib,Con
40,QC,24036,"Lotbinière--Chutes-de-la-Chaudière",12738,24495,1265,6498,6828,,Con,Bloc,NDP
40,QC,24037,"Louis-Hébert",20992,16343,1408,13669,5403,119,Bloc,Con,Lib
40,QC,24038,"Louis-Saint-Laurent",13330,23683,1260,6712,5252,,Con,Bloc,Lib
40,QC,24039,"Manicouagan",15272,8374,1112,4737,1491,,Bloc,Con,Lib
40,QC,24040,"Marc-Aurèle-Fortin",25552,7759,2178,13728,6907,,Bloc,Lib,Con
40,QC,24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia",11984,5771,1139,11368,1497,175,Bloc,Lib,Con
40,QC,24042,"Mégantic--L'Érable",12283,20697,959,6185,4191,,Con,Bloc,Lib
40,QC,24043,"Montcalm",33519,8096,1854,8387,8337,,Bloc,Lib,NDP
40,QC,24044,"Mount Royal",1543,9676,1565,19702,2733,186,Lib,Con,NDP
40,QC,24045,"Notre-Dame-de-Grâce--Lachine",6962,7108,3378,19554,6641,177,Lib,Con,Bloc
40,QC,24046,"Abitibi--Baie-James--Nunavik--Eeyou",10995,8422,928,5108,2276,,Bloc,Con,Lib
40,QC,24047,"Outremont",4554,3820,1566,12005,14348,,NDP,Lib,Bloc
40,QC,24048,"Papineau",16535,3262,1213,17724,3734,267,Lib,Bloc,NDP
40,QC,24049,"Pierrefonds--Dollard",4357,11815,3161,21468,4823,111,Lib,Con,NDP
40,QC,24050,"Pontiac",9576,14023,2148,10396,6616,112,Con,Lib,Bloc
40,QC,24051,"Portneuf--Jacques-Cartier",14401,,1452,7320,5707,16102,Other,Bloc,Lib
40,QC,24052,"Québec",21064,12943,1650,8845,5933,,Bloc,Con,Lib
40,QC,24053,"Repentigny",31007,8168,1666,8751,8853,,Bloc,NDP,Lib
40,QC,24054,"Bas-Richelieu--Nicolet--Bécancour",26821,8904,1334,7987,4010,,Bloc,Con,Lib
40,QC,24055,"Richmond--Arthabaska",23913,15080,1337,6599,4509,526,Bloc,Con,Lib
