election_id,prov_code,ed_id,ed_name,Bloc,ConParty,Grn,Lib,NDP,Other,1st,2nd,3rd
38,NS,99,"HALIFAX",,6457,2081,17267,18341,,NDP,Lib,ConParty
38,NS,100,"HALIFAX WEST",,8413,1452,19083,11228,,Lib,NDP,ConParty
38,NS,101,"KINGS--HANTS",,11344,1364,17555,6663,735,Lib,ConParty,NDP
38,NS,102,"NORTH NOVA",,20188,1245,10591,7560,399,ConParty,Lib,NDP
38,NS,103,"SACKVILLE--EASTERN SHORE",,8363,1007,11222,17925,645,NDP,Lib,ConParty
38,NS,104,"SOUTH SHORE--ST. MARGARET'S",,14954,1700,12658,10140,,ConParty,Lib,NDP
38,NS,105,"SYDNEY--VICTORIA",,5897,855,19372,10298,738,Lib,NDP,ConParty
38,NS,106,"WEST NOVA",,14209,1385,18343,9086,,Lib,ConParty,NDP
38,NT,107,"WESTERN ARCTIC",,2314,583,5317,5264,,Lib,NDP,ConParty
38,NU,108,"NUNAVUT",,1075,248,3818,1129,1172,Lib,Other,NDP
38,ON,109,"AJAX--PICKERING",,14666,1951,21706,5286,,Lib,ConParty,NDP
38,ON,110,"ALGOMA--MANITOULIN--KAPUSKASING",,8093,1449,14276,11051,,Lib,NDP,ConParty
38,ON,111,"ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE",,19135,2636,21935,11557,,Lib,ConParty,NDP
38,ON,112,"BARRIE",,19938,3288,21233,5312,,Lib,ConParty,NDP
38,ON,113,"BEACHES--EAST YORK",,6603,2127,22494,15156,553,Lib,NDP,ConParty
38,ON,114,"BRAMALEA--GORE--MALTON",,12594,1832,20394,6113,237,Lib,ConParty,NDP
38,ON,115,"BRAMPTON WEST",,18768,1603,21254,4920,371,Lib,ConParty,NDP
38,ON,116,"BRAMPTON--SPRINGDALE",,11182,1927,19385,8038,86,Lib,ConParty,NDP
38,ON,117,"BRANT",,17792,2738,20455,11826,943,Lib,ConParty,NDP
38,ON,118,"BURLINGTON",,23389,3169,27423,6581,429,Lib,ConParty,NDP
38,ON,119,"CAMBRIDGE",,19123,2506,18899,10392,643,ConParty,Lib,NDP
38,ON,120,"CARLETON--LANARK",,32664,3665,22185,6758,,ConParty,Lib,NDP
38,ON,121,"CHATHAM-KENT--ESSEX",,17028,1845,17435,7538,150,Lib,ConParty,NDP
38,ON,122,"CLARINGTON--SCUGOG--UXBRIDGE",,20813,2085,19548,7721,915,ConParty,Lib,NDP
38,ON,123,"DAVENPORT",,3077,1384,16773,11292,564,Lib,NDP,ConParty
38,ON,124,"DON VALLEY EAST",,11206,1172,21864,5287,500,Lib,ConParty,NDP
38,ON,125,"DON VALLEY WEST",,14495,1703,30615,4393,,Lib,ConParty,NDP
38,ON,126,"DUFFERIN--CALEDON",,19270,3947,17557,3798,443,ConParty,Lib,Grn
38,ON,127,"EGLINTON--LAWRENCE",,11792,1924,28360,4886,115,Lib,ConParty,NDP
38,ON,128,"ELGIN--MIDDLESEX--LONDON",,20333,2033,15860,6763,1392,ConParty,Lib,NDP
38,ON,129,"ESSEX",,18755,1981,17926,12519,105,ConParty,Lib,NDP
