election_id,prov_code,ed_id,ed_name,Con,Lib,Other,PC,1st,2nd,3rd
5,BC,1,"CARIBOO",,,,,Other,Con,Lib
5,BC,2,"NEW WESTMINSTER",,,,,Other,Con,Lib
5,BC,3,"VANCOUVER",,,300,455,PC,Other,Con
5,BC,4,"VICTORIA-1",400,307,149,,Con,Lib,Other
5,BC,5,"VICTORIA-2",441,,380,,Con,Other,Lib
5,BC,6,"YALE",266,,187,,Con,Other,Lib
5,MB,7,"LISGAR",,,720,760,PC,Other,Con
5,MB,8,"MARQUETTE",886,1074,,,Lib,Con,Other
5,MB,9,"PROVENCHER",,,,,Other,Con,Lib
5,MB,10,"SELKIRK",,1487,1064,,Lib,Other,Con
5,MB,11,"WINNIPEG",491,,458,,Con,Other,Lib
5,NB,12,"ALBERT",,1507,,,Lib,Other,Con
5,NB,13,"CARLETON",,1812,1653,,Lib,Other,Con
5,NB,14,"CHARLOTTE",,1558,1244,,Lib,Other,Con
5,NB,15,"CITY AND COUNTY OF ST. JOHN-1",,2225,1864,,Lib,Other,Con
5,NB,16,"CITY AND COUNTY OF ST. JOHN-2",1925,2459,,,Lib,Con,Other
5,NB,17,"CITY OF ST. JOHN",,,1151,1288,PC,Other,Con
5,NB,18,"GLOUCESTER",1205,540,564,,Con,Other,Lib
5,NB,19,"KENT",,773,,1412,PC,Lib,Other
5,NB,20,"KING'S",3001,,,,Con,Other,Lib
5,NB,21,"NORTHUMBERLAND",,,,,Other,Con,Lib
5,NB,22,"QUEEN'S",,1084,886,,Lib,Other,Con
5,NB,23,"RESTIGOUCHE",452,,404,,Con,Other,Lib
5,NB,24,"SUNBURY",537,618,,,Lib,Con,Other
5,NB,25,"VICTORIA",,,,,Other,Con,Lib
5,NB,26,"WESTMORLAND",2620,2188,,,Con,Lib,Other
5,NB,27,"YORK",,,3801,,Other,Con,Lib
5,NS,28,"ANNAPOLIS",,1430,1368,,Lib,Other,Con
5,NS,29,"ANTIGONISH",,1068,735,,Lib,Other,Con
5,NS,30,"CAPE BRETON-1",1237,1013,,,Con,Lib,Other
5,NS,31,"CAPE BRETON-2",1297,,,2058,PC,Con,Other
5,NS,32,"COLCHESTER",1887,,1452,,Con,Other,Lib
5,NS,33,"CUMBERLAND",,,,,Other,Con,Lib
5,NS,34,"DIGBY",871,1123,,,Lib,Con,Other
5,NS,35,"GUYSBOROUGH",628,818,,,Lib,Con,Other
5,NS,36,"HALIFAX-1",,2563,,2785,PC,Lib,Other
5,NS,37,"HALIFAX-2",,,2720,2811,PC,Other,Con
5,NS,38,"HANTS",1386,1341,,,Con,Lib,Other
5,NS,39,"INVERNESS",,1062,,1912,PC,Lib,Other
5,NS,40,"KINGS",,1357,,1707,PC,Lib,Other
5,NS,41,"LUNENBURG",1032,1169,,,Lib,Con,Other
5,NS,42,"PICTOU-1",2681,2320,,,Con,Lib,Other
5,NS,43,"PICTOU-2",,2397,,2709,PC,Lib,Other
5,NS,44,"QUEENS",,692,,560,Lib,PC,Other
5,NS,45,"RICHMOND",525,461,,,Con,Lib,Other
5,NS,46,"SHELBURNE",,912,775,,Lib,Other,Con
5,NS,47,"VICTORIA",1401,,,,Con,Other,Lib
5,NS,48,"YARMOUTH",,2107,,,Lib,Other,Con
5,ON,49,"ADDINGTON",1659,,1157,,Con,Other,Lib
5,ON,50,"ALGOMA",1707,1112,,,Con,Lib,Other
5,ON,51,"BOTHWELL",,1504,,1520,PC,Lib,Other
5,ON,52,"BRANT NORTH",,1603,652,,Lib,Other,Con
5,ON,53,"BRANT SOUTH",,1473,1297,,Lib,Other,Con
5,ON,54,"BROCKVILLE",,1272,,1277,PC,Lib,Other
5,ON,55,"BRUCE EAST",,1558,1497,,Lib,Other,Con
5,ON,56,"BRUCE NORTH",,,1162,1250,PC,Other,Con
5,ON,57,"BRUCE WEST",,1833,941,,Lib,Other,Con
5,ON,58,"CARDWELL",1407,,1066,,Con,Other,Lib
5,ON,59,"CARLETON",,,1246,1185,Other,PC,Con
5,ON,60,"CORNWALL AND STORMONT",,,1370,1819,PC,Other,Con
5,ON,61,"DUNDAS",1719,,1630,,Con,Other,Lib
5,ON,62,"DURHAM EAST",1638,1257,,,Con,Lib,Other
5,ON,63,"DURHAM WEST",,1497,1379,,Lib,Other,Con
5,ON,64,"ELGIN EAST",,2221,,2097,Lib,PC,Other
5,ON,65,"ELGIN WEST",,2110,1305,,Lib,Other,Con
5,ON,66,"ESSEX NORTH",1714,,1022,,Con,Other,Lib
5,ON,67,"ESSEX SOUTH",1475,,1415,,Con,Other,Lib
5,ON,68,"FRONTENAC",,,,,Other,Con,Lib
5,ON,69,"GLENGARRY",1499,,1276,,Con,Other,Lib
5,ON,70,"GRENVILLE SOUTH",1187,,1039,,Con,Other,Lib
5,ON,71,"GREY EAST",1934,,1520,,Con,Other,Lib
5,ON,72,"GREY NORTH",,1457,1385,,Lib,Other,Con
5,ON,73,"GREY SOUTH",,1765,,1689,Lib,PC,Other
5,ON,74,"HALDIMAND",,1490,1364,,Lib,Other,Con
5,ON,75,"HALTON",,1822,1739,,Lib,Other,Con
5,ON,76,"HAMILTON-1",,4758,,,Lib,Other,Con
5,ON,77,"HAMILTON-2",2666,2194,,,Con,Lib,Other
5,ON,78,"HASTINGS EAST",1386,,1333,,Con,Other,Lib
5,ON,79,"HASTINGS NORTH",1408,,1057,,Con,Other,Lib
5,ON,80,"HASTINGS WEST",2398,,,,Con,Other,Lib
5,ON,81,"HURON EAST",1631,,1571,,Con,Other,Lib
5,ON,82,"HURON SOUTH",,1621,1024,,Lib,Other,Con
5,ON,83,"HURON WEST",,1736,,1707,Lib,PC,Other
5,ON,84,"KENT",2223,,2066,,Con,Other,Lib
5,ON,85,"KINGSTON",,889,797,,Lib,Other,Con
5,ON,86,"LAMBTON EAST",,1736,1569,,Lib,Other,Con
5,ON,87,"LAMBTON WEST",,1652,1311,,Lib,Other,Con
5,ON,88,"LANARK NORTH",1382,1313,,,Con,Lib,Other
5,ON,89,"LANARK SOUTH",,,,,Other,Con,Lib
5,ON,90,"LEEDS NORTH AND GRENVILLE NORTH",,762,,1048,PC,Lib,Other
5,ON,91,"LEEDS SOUTH",1993,,1716,,Con,Other,Lib
5,ON,92,"LENNOX",,1292,,1492,PC,Lib,Other
5,ON,93,"LINCOLN AND NIAGARA",1826,,1731,,Con,Other,Lib
5,ON,94,"LONDON",,,1238,1485,PC,Other,Con
5,ON,95,"MIDDLESEX EAST",,,1454,1949,PC,Other,Con
5,ON,96,"MIDDLESEX NORTH",,,1632,1741,PC,Other,Con
5,ON,97,"MIDDLESEX SOUTH",,1678,812,,Lib,Other,Con
5,ON,98,"MIDDLESEX WEST",,1651,1597,,Lib,Other,Con
5,ON,99,"MONCK",,,1420,1445,PC,Other,Con
5,ON,100,"MUSKOKA AND PARRY SOUND",1296,,1293,,Con,Other,Lib
5,ON,101,"NORFOLK NORTH",1562,1940,,,Lib,Con,Other
5,ON,102,"NORFOLK SOUTH",,1560,1534,,Lib,Other,Con
5,ON,103,"NORTHUMBERLAND EAST",2073,,1800,,Con,Other,Lib
5,ON,104,"NORTHUMBERLAND WEST",1298,1293,,,Con,Lib,Other
5,ON,105,"ONTARIO NORTH",1552,1611,,,Lib,Con,Other
5,ON,106,"ONTARIO SOUTH",1618,1668,,,Lib,Con,Other
5,ON,107,"ONTARIO WEST",,1793,1035,,Lib,Other,Con
5,ON,108,"OTTAWA (CITY OF)-1",1557,1213,,,Con,Lib,Other
