election_id,prov_code,ed_id,ed_name,CCF,Lib,Other,PC,SoCred,1st,2nd,3rd
20,QC,172,"CHÂTEAUGUAY--HUNTINGDON",,4770,3737,2804,101,Lib,Other,PC
20,QC,173,"COMPTON",486,8007,1622,3506,1065,Lib,PC,Other
20,QC,174,"DORCHESTER",,5149,4291,,1843,Lib,Other,SoCred
20,QC,175,"DRUMMOND--ARTHABASKA",,14805,13970,,1037,Lib,Other,SoCred
20,QC,176,"GASPÉ",368,11596,10473,,,Lib,Other,CCF
20,QC,177,"HOCHELAGA",692,22444,10179,2208,533,Lib,Other,PC
20,QC,178,"HULL",478,15012,596,9258,,Lib,PC,Other
20,QC,179,"JACQUES CARTIER",1866,12640,3147,8421,,Lib,PC,Other
20,QC,180,"JOLIETTE--L'ASSOMPTION--MONTCALM",,14810,12953,318,161,Lib,Other,PC
20,QC,181,"KAMOURASKA",,6829,3999,,1361,Lib,Other,SoCred
20,QC,182,"LABELLE",,7969,5769,,1228,Lib,Other,SoCred
20,QC,183,"LAKE ST-JOHN--ROBERVAL",,,23316,,1134,Other,SoCred,CCF
20,QC,184,"LAURIER",1924,22520,5145,1910,,Lib,Other,CCF
20,QC,185,"LAVAL--TWO MOUNTAINS",,6577,6876,,,Other,Lib,CCF
20,QC,186,"LOTBINIÈRE",,10122,5813,,,Lib,Other,CCF
20,QC,187,"LÉVIS",,,10098,,4233,Other,SoCred,CCF
20,QC,188,"MAISONNEUVE--ROSEMONT",1268,13556,9155,5320,464,Lib,Other,PC
20,QC,189,"MATAPÉDIA--MATANE",,,17902,,,Other,CCF,Lib
20,QC,190,"MERCIER",541,18623,9920,2269,417,Lib,Other,PC
20,QC,191,"MONTMAGNY--L'ISLET",,7327,3028,,1721,Lib,Other,SoCred
20,QC,192,"MOUNT ROYAL",3608,20925,2417,17798,,Lib,PC,CCF
20,QC,193,"MÉGANTIC--FRONTENAC",,10057,7008,,2106,Lib,Other,SoCred
20,QC,194,"NICOLET--YAMASKA",,6658,7973,944,,Other,Lib,PC
20,QC,195,"OUTREMONT",1639,14836,6248,3750,,Lib,Other,PC
20,QC,196,"PONTIAC",2453,13325,4433,6136,5852,Lib,PC,SoCred
20,QC,197,"PORTNEUF",,8994,7021,,1094,Lib,Other,SoCred
20,QC,198,"QUEBEC EAST",231,17965,9049,,2816,Lib,Other,SoCred
20,QC,199,"QUEBEC SOUTH",,14091,4943,,931,Lib,Other,SoCred
20,QC,200,"QUEBEC WEST AND SOUTH",236,,15955,,3876,Other,SoCred,CCF
20,QC,201,"QUÉBEC--MONTMORENCY",,,11561,5642,5211,Other,PC,SoCred
20,QC,202,"RICHELIEU--VERCHÈRES",,,12873,3080,945,Other,PC,SoCred
20,QC,203,"RICHMOND--WOLFE",,8459,6359,,1147,Lib,Other,SoCred
20,QC,204,"RIMOUSKI",,10730,8084,,834,Lib,Other,SoCred
20,QC,205,"SHEFFORD",,7413,7658,,578,Other,Lib,SoCred
20,QC,206,"SHERBROOKE",283,9552,6537,6158,1118,Lib,Other,PC
20,QC,207,"ST-MAURICE--LAFLÈCHE",,9323,14131,,681,Other,Lib,SoCred
20,QC,208,"ST. ANN",1375,11007,3132,,224,Lib,Other,CCF
20,QC,209,"ST. ANTOINE--WESTMOUNT",1982,13648,200,13588,,Lib,PC,CCF
20,QC,210,"ST. DENIS",,21201,14206,,534,Lib,Other,SoCred
20,QC,211,"ST. HENRY",941,19137,9300,1902,334,Lib,Other,PC
20,QC,212,"ST. HYACINTHE--BAGOT",,12781,1671,7197,258,Lib,PC,Other
20,QC,213,"ST. JAMES",619,23970,16085,,549,Lib,Other,CCF
20,QC,214,"ST. JOHNS--IBERVILLE--NAPIERVILLE",,10866,5875,,,Lib,Other,CCF
20,QC,215,"ST. LAWRENCE--ST. GEORGE",1454,10301,2327,6171,,Lib,PC,Other
20,QC,216,"ST. MARY",369,18237,14582,,348,Lib,Other,CCF
20,QC,217,"STANSTEAD",169,3545,4553,5028,365,PC,Other,Lib
20,QC,218,"TERREBONNE",281,15383,7417,,,Lib,Other,CCF
20,QC,219,"THREE RIVERS",186,2525,12980,4173,787,Other,PC,Lib
20,QC,220,"TÉMISCOUATA",,,11427,,1907,Other,SoCred,CCF
20,QC,221,"VAUDREUIL--SOULANGES",191,6267,3499,,,Lib,Other,CCF
20,QC,222,"VERDUN",6967,15943,4766,7151,187,Lib,PC,CCF
20,QC,223,"WRIGHT",1067,6460,1545,2634,,Lib,PC,Other
20,SK,224,"ASSINIBOIA",6952,5779,,3084,,CCF,Lib,PC
20,SK,225,"HUMBOLDT",7843,6380,,,1094,CCF,Lib,SoCred
20,SK,226,"KINDERSLEY",5499,4787,,2653,1001,CCF,Lib,PC
20,SK,227,"LAKE CENTRE",5875,3812,,6884,,PC,CCF,Lib
