election_id,prov_code,ed_id,ed_name,Bloc,Grn,Lib,NDP,Other,PC,Reform,1st,2nd,3rd
36,ON,179,"SCARBOROUGH SOUTHWEST",,482,20675,4345,,5294,7918,Lib,Reform,PC
36,ON,180,"SCARBOROUGH--AGINCOURT",,,25995,2512,,7115,4291,Lib,PC,Reform
36,ON,181,"SCARBOROUGH--ROUGE RIVER",,,28636,1874,309,4364,3102,Lib,PC,Reform
36,ON,182,"SIMCOE NORTH",,388,22775,2488,443,10849,14363,Lib,Reform,PC
36,ON,183,"SIMCOE--GREY",,,17895,3090,664,11761,17414,Lib,Reform,PC
36,ON,184,"ST. CATHARINES",,,21081,4657,1241,6503,15029,Lib,Reform,PC
36,ON,185,"ST. PAUL'S",,597,26389,6028,538,11520,3564,Lib,PC,NDP
36,ON,186,"STONEY CREEK",,,23750,3392,733,9440,10210,Lib,Reform,PC
36,ON,187,"STORMONT--DUNDAS",,,22857,2671,295,8741,8945,Lib,Reform,PC
36,ON,188,"SUDBURY",,,22223,8471,749,3459,5198,Lib,NDP,Reform
36,ON,189,"THORNHILL",,,25747,2008,926,11517,3441,Lib,PC,Reform
36,ON,190,"THUNDER BAY--ATIKOKAN",,,14287,8117,,5443,5642,Lib,NDP,Reform
36,ON,191,"THUNDER BAY--NIPIGON",,,16745,6705,,3569,5286,Lib,NDP,Reform
36,ON,192,"TIMISKAMING--COCHRANE",,,20580,4623,,4886,4541,Lib,PC,NDP
36,ON,193,"TIMMINS--JAMES BAY",,,16829,11945,,2251,2464,Lib,NDP,Reform
36,ON,194,"TORONTO CENTRE--ROSEDALE",,577,22945,9597,884,8993,3646,Lib,NDP,PC
36,ON,195,"TRINITY--SPADINA",,392,18215,16413,752,2793,1649,Lib,NDP,PC
36,ON,196,"VAUGHAN--KING--AURORA",,,33502,2250,524,8591,7273,Lib,PC,Reform
36,ON,197,"VICTORIA--HALIBURTON",,,18205,3456,504,14283,17024,Lib,Reform,PC
36,ON,198,"WATERLOO--WELLINGTON",,,20038,3180,,8175,14142,Lib,Reform,PC
36,ON,199,"WENTWORTH--BURLINGTON",,,19584,3694,,13481,10267,Lib,PC,Reform
36,ON,200,"WHITBY--AJAX",,,23551,3354,394,10107,11977,Lib,Reform,PC
36,ON,201,"WILLOWDALE",,,27311,2833,534,10043,6007,Lib,PC,Reform
36,ON,202,"WINDSOR WEST",,398,21877,9411,199,2452,5295,Lib,NDP,Reform
36,ON,203,"WINDSOR--ST. CLAIR",,357,16496,14237,115,4253,5899,Lib,NDP,Reform
36,ON,204,"YORK CENTRE",,389,27864,3618,596,3323,2876,Lib,NDP,PC
36,ON,205,"YORK NORTH",,,22942,1996,1206,11308,13245,Lib,Reform,PC
36,ON,206,"YORK SOUTH--WESTON",,171,12732,3552,17373,1925,2363,Other,Lib,NDP
36,ON,207,"YORK WEST",,,21254,2853,,2165,2598,Lib,NDP,Reform
36,PE,208,"CARDIGAN",,,7555,1761,,7456,,Lib,PC,NDP
36,PE,209,"EGMONT",,,8498,1300,,7754,,Lib,PC,NDP
36,PE,210,"HILLSBOROUGH",,,7630,5751,219,4594,476,Lib,NDP,PC
36,PE,211,"MALPEQUE",,,7912,1863,,7194,580,Lib,PC,NDP
36,QC,212,"ABITIBI",14168,,16803,909,,6531,,Lib,Bloc,PC
36,QC,213,"AHUNTSIC",18689,,28971,1051,589,9520,,Lib,Bloc,PC
36,QC,214,"ANJOU--RIVIÈRE-DES-PRAIRIES",16558,,24189,752,227,9405,,Lib,Bloc,PC
36,QC,215,"ARGENTEUIL--PAPINEAU",21202,,17648,836,1014,11171,,Bloc,Lib,PC
36,QC,216,"BEAUCE",12002,,22156,735,843,9385,,Lib,Bloc,PC
36,QC,217,"BEAUHARNOIS--SALABERRY",20449,,17226,652,,13160,,Bloc,Lib,PC
