election_id,prov_code,ed_id,ed_name,Bloc,CdnAll,Grn,Lib,NDP,Other,PC,1st,2nd,3rd
37,QC,248,"LAVAL WEST",19975,4631,983,31758,764,180,3613,Lib,Bloc,CdnAll
37,QC,249,"LONGUEUIL",20868,2066,,12991,655,1151,2210,Bloc,Lib,PC
37,QC,250,"LOTBINIÈRE--L'ÉRABLE",15351,2827,,12563,538,,2357,Bloc,Lib,CdnAll
37,QC,251,"LOUIS-HÉBERT",21240,5887,,23695,1200,382,5189,Lib,Bloc,CdnAll
37,QC,252,"LÉVIS-ET-CHUTES-DE-LA-CHAUDIÈRE",26398,9152,,21522,1411,374,4222,Bloc,Lib,CdnAll
37,QC,253,"MANICOUAGAN",11595,1197,,7770,386,,830,Bloc,Lib,CdnAll
37,QC,254,"MATAPÉDIA--MATANE",14678,,,14402,935,,1456,Bloc,Lib,PC
37,QC,255,"MERCIER",24755,1684,1813,15416,480,1041,1629,Bloc,Lib,Grn
37,QC,256,"MOUNT ROYAL",1740,1444,681,33118,1034,262,2489,Lib,PC,Bloc
37,QC,257,"NOTRE-DAME-DE-GRÂCE--LACHINE",8449,2022,1031,28328,2208,1261,3352,Lib,Bloc,PC
37,QC,258,"OUTREMONT",11151,1283,1478,18796,2199,1325,3190,Lib,Bloc,PC
37,QC,259,"PAPINEAU--SAINT-DENIS",11779,2114,1128,23955,1983,2106,1215,Lib,Bloc,CdnAll
37,QC,260,"PIERREFONDS--DOLLARD",5937,3481,,39357,1109,1149,2991,Lib,Bloc,CdnAll
37,QC,261,"PONTIAC--GATINEAU--LABELLE",14552,6587,654,20590,840,375,1791,Lib,Bloc,CdnAll
37,QC,262,"PORTNEUF",15444,6699,,17877,,,3819,Lib,Bloc,CdnAll
37,QC,263,"QUÉBEC",22793,3980,,18619,1704,2217,3171,Bloc,Lib,CdnAll
37,QC,264,"QUÉBEC EAST",21166,8594,,21813,1192,,3727,Lib,Bloc,CdnAll
37,QC,265,"REPENTIGNY",33627,2964,,15635,831,1997,3122,Bloc,Lib,PC
37,QC,266,"RICHMOND--ARTHABASKA",18067,1930,,10416,319,375,18430,PC,Bloc,Lib
37,QC,267,"RIMOUSKI-NEIGETTE-ET-LA MITIS",19759,1280,,9795,525,673,1150,Bloc,Lib,CdnAll
37,QC,268,"RIVIÈRE-DES-MILLE-ÎLES",26508,3677,1329,18456,739,,2935,Bloc,Lib,CdnAll
37,QC,269,"ROBERVAL",16928,1830,,10680,437,,870,Bloc,Lib,CdnAll
37,QC,270,"ROSEMONT--PETITE-PATRIE",23315,1354,1475,16052,1417,1833,2006,Bloc,Lib,PC
37,QC,271,"SAINT-BRUNO--SAINT-HUBERT",22217,3305,,19743,1029,1546,2673,Bloc,Lib,CdnAll
37,QC,272,"SAINT-HYACINTHE--BAGOT",25916,2161,,16265,499,,1932,Bloc,Lib,CdnAll
37,QC,273,"SAINT-JEAN",22686,3169,,17262,698,1246,2764,Bloc,Lib,CdnAll
37,QC,274,"SAINT-LAMBERT",16519,3066,,19679,,1377,2704,Lib,Bloc,CdnAll
37,QC,275,"SAINT-LAURENT--CARTIERVILLE",5838,1909,,32861,1070,672,2308,Lib,Bloc,PC
37,QC,276,"SAINT-LÉONARD--SAINT-MICHEL",6679,1750,,35396,528,762,1057,Lib,Bloc,CdnAll
37,QC,277,"SAINT-MAURICE",16821,1461,,23345,359,223,966,Lib,Bloc,CdnAll
37,QC,278,"SHEFFORD",19816,1867,,20707,380,819,1498,Lib,Bloc,CdnAll
37,QC,279,"SHERBROOKE",23559,2284,,21182,677,975,1955,Bloc,Lib,CdnAll
37,QC,280,"TERREBONNE--BLAINVILLE",28933,3741,,17668,1111,1193,3089,Bloc,Lib,CdnAll
37,QC,281,"TROIS-RIVIÈRES",22405,2161,,20606,512,722,1599,Bloc,Lib,CdnAll
37,QC,282,"TÉMISCAMINGUE",18801,1368,,16028,493,,804,Bloc,Lib,CdnAll
37,QC,283,"VAUDREUIL--SOULANGES",17587,4188,,26292,904,,2020,Lib,Bloc,CdnAll
37,QC,284,"VERCHÈRES--LES PATRIOTES",28696,2870,,16740,1074,1643,3859,Bloc,Lib,PC
37,QC,285,"VERDUN--SAINT-HENRI--SAINT-PAUL--POINTE SAINT-CHARLES",11976,2098,933,20905,1003,1189,2670,Lib,Bloc,PC
37,QC,286,"WESTMOUNT--VILLE-MARIE",4110,1697,1245,23093,1990,1632,4597,Lib,PC,Bloc
37,SK,287,"BATTLEFORDS--LLOYDMINSTER",,17691,,5098,5107,,1474,CdnAll,NDP,Lib
37,SK,288,"BLACKSTRAP",,16028,519,8206,9551,,1926,CdnAll,NDP,Lib
37,SK,289,"CHURCHILL RIVER",,7679,,9856,5141,143,755,Lib,CdnAll,NDP
37,SK,290,"CYPRESS HILLS--GRASSLANDS",,18593,,3791,5101,,2676,CdnAll,NDP,Lib
37,SK,291,"PALLISER",,11927,,6492,12136,,1248,NDP,CdnAll,Lib
37,SK,292,"PRINCE ALBERT",,14825,317,6754,6676,,3943,CdnAll,Lib,NDP
37,SK,293,"REGINA--LUMSDEN--LAKE CENTRE",,12585,,4296,12424,,,CdnAll,NDP,Lib
37,SK,294,"REGINA--QU'APPELLE",,11567,,5106,11731,,,NDP,CdnAll,Lib
37,SK,295,"SASKATOON--HUMBOLDT",,15780,488,7740,9420,245,1963,CdnAll,NDP,Lib
37,SK,296,"SASKATOON--ROSETOWN--BIGGAR",,11177,,3023,11109,,1518,CdnAll,NDP,Lib
37,SK,297,"SASKATOON--WANUSKEWIN",,17404,402,5567,8022,,1709,CdnAll,NDP,Lib
37,SK,298,"SOURIS--MOOSE MOUNTAIN",,19278,,4371,4755,,2060,CdnAll,NDP,Lib
37,SK,299,"WASCANA",,12492,,14244,7446,401,,Lib,CdnAll,NDP
37,SK,300,"YORKTON--MELVILLE",,19978,,5153,5007,,1583,CdnAll,Lib,NDP
37,YK,301,"YUKON",,3659,,4293,4223,53,991,Lib,NDP,CdnAll
