election_id,prov_code,ed_id,ed_name,CCF,Lib,Other,PC,SoCred,1st,2nd,3rd
23,AB,1,"ACADIA",1520,5825,,1852,10348,SoCred,Lib,PC
23,AB,2,"ATHABASKA",1381,7453,,2116,7029,Lib,SoCred,PC
23,AB,3,"BATTLE RIVER--CAMROSE",2180,5523,,3808,10945,SoCred,Lib,PC
23,AB,4,"BOW RIVER",,4493,,7039,7383,SoCred,PC,Lib
23,AB,5,"CALGARY NORTH",1545,6429,,21783,10066,PC,SoCred,Lib
23,AB,6,"CALGARY SOUTH",1033,11599,,21065,5738,PC,Lib,SoCred
23,AB,7,"EDMONTON EAST",1797,10683,,3927,10967,SoCred,Lib,PC
23,AB,8,"EDMONTON WEST",2249,12606,,14173,11814,PC,Lib,SoCred
23,AB,9,"EDMONTON--STRATHCONA",2434,10731,,10525,13124,SoCred,Lib,PC
23,AB,10,"JASPER--EDSON",2322,6296,,4391,8795,SoCred,Lib,PC
23,AB,11,"LETHBRIDGE",,6627,,3041,10910,SoCred,Lib,PC
23,AB,12,"MACLEOD",1001,4774,,5073,8411,SoCred,PC,Lib
23,AB,13,"MEDICINE HAT",1262,8390,386,2391,10960,SoCred,Lib,PC
23,AB,14,"PEACE RIVER",1783,5515,212,5896,10393,SoCred,PC,Lib
23,AB,15,"RED DEER",1073,3471,,5918,9519,SoCred,PC,Lib
23,AB,16,"VEGREVILLE",3246,5048,815,1780,7327,SoCred,Lib,CCF
23,AB,17,"WETASKIWIN",2301,3727,,3447,7968,SoCred,Lib,PC
23,BC,18,"BURNABY--COQUITLAM",10947,4778,,4949,7552,CCF,SoCred,PC
23,BC,19,"BURNABY--RICHMOND",7662,7121,,7940,7999,SoCred,PC,CCF
23,BC,20,"CARIBOO",2737,4208,,4217,8292,SoCred,PC,Lib
23,BC,21,"COAST-CAPILANO",5140,16443,,11643,8918,Lib,PC,SoCred
23,BC,22,"COMOX--ALBERNI",8598,3146,,7423,4789,CCF,PC,SoCred
23,BC,23,"ESQUIMALT--SAANICH",4446,5034,,15330,3677,PC,Lib,CCF
23,BC,24,"FRASER VALLEY",5405,5262,,6911,11091,SoCred,PC,CCF
23,BC,25,"KAMLOOPS",1959,3383,,10029,5858,PC,SoCred,Lib
23,BC,26,"KOOTENAY EAST",4022,4670,,2082,4082,Lib,SoCred,CCF
23,BC,27,"KOOTENAY WEST",8996,2705,,3475,5366,CCF,SoCred,PC
23,BC,28,"NANAIMO",8650,3448,,6131,4766,CCF,PC,SoCred
