election_id,prov_code,ed_id,ed_name,CCF,Con,Lib,Other,Reconstruct,SoCred,1st,2nd,3rd
18,QC,189,"MATAPÉDIA--MATANE",,4834,4987,,4476,,Lib,Con,Reconstruct
18,QC,190,"MERCIER",,2496,17231,865,3750,,Lib,Reconstruct,Con
18,QC,191,"MONTMAGNY--L'ISLET",,4611,6826,,271,,Lib,Con,Reconstruct
18,QC,192,"MOUNT ROYAL",1473,16203,11967,343,2782,,Con,Lib,Reconstruct
18,QC,193,"MÉGANTIC--FRONTENAC",,1460,8619,,6064,,Lib,Reconstruct,Con
18,QC,194,"NICOLET--YAMASKA",,6770,9542,,108,,Lib,Con,Reconstruct
18,QC,195,"OUTREMONT",,7040,11260,,1844,,Lib,Con,Reconstruct
18,QC,196,"PONTIAC",,4409,11334,,2519,,Lib,Con,Reconstruct
18,QC,197,"PORTNEUF",,5155,5981,4345,,,Lib,Con,Other
18,QC,198,"QUEBEC EAST",,9611,15557,,,,Lib,Con,Other
18,QC,199,"QUEBEC SOUTH",,6663,11270,,,,Lib,Con,Other
18,QC,200,"QUEBEC WEST AND SOUTH",,8720,10466,,,,Lib,Con,Other
18,QC,201,"QUÉBEC--MONTMORENCY",,8064,9084,,,,Lib,Con,Other
18,QC,202,"RICHELIEU--VERCHÈRES",,3402,11022,,,,Lib,Con,Other
18,QC,203,"RICHMOND--WOLFE",,5034,6278,2533,950,,Lib,Con,Other
18,QC,204,"RIMOUSKI",,4495,9238,,732,,Lib,Con,Reconstruct
18,QC,205,"SHEFFORD",,6502,6925,,,,Lib,Con,Other
18,QC,206,"SHERBROOKE",,8029,9806,,,,Lib,Con,Other
18,QC,207,"ST-MAURICE--LAFLÈCHE",,3332,5505,7952,,,Other,Lib,Con
18,QC,208,"ST. ANN",,2145,8092,4667,713,,Lib,Other,Con
18,QC,209,"ST. ANTOINE--WESTMOUNT",,12905,7222,,1799,,Con,Lib,Reconstruct
18,QC,210,"ST. DENIS",,1519,19047,1763,8067,,Lib,Reconstruct,Other
18,QC,211,"ST. HENRY",,4871,21561,,2885,,Lib,Con,Reconstruct
18,QC,212,"ST. HYACINTHE--BAGOT",,3268,11547,,1138,,Lib,Con,Reconstruct
18,QC,213,"ST. JAMES",1147,2953,22298,241,10242,,Lib,Reconstruct,Con
18,QC,214,"ST. JOHNS--IBERVILLE--NAPIERVILLE",,1359,9422,,,,Lib,Con,Other
18,QC,215,"ST. LAWRENCE--ST. GEORGE",,6862,5695,,1461,,Con,Lib,Reconstruct
18,QC,216,"ST. MARY",,,18479,907,12840,,Lib,Reconstruct,Other
18,QC,217,"STANSTEAD",,5553,5676,,434,,Lib,Con,Reconstruct
18,QC,218,"TERREBONNE",,4141,11072,,,,Lib,Con,Other
18,QC,219,"THREE RIVERS",,5748,11184,2343,1049,,Lib,Con,Other
18,QC,220,"TÉMISCOUATA",,4565,10177,,391,,Lib,Con,Reconstruct
18,QC,221,"VAUDREUIL--SOULANGES",,2519,5983,,279,,Lib,Con,Reconstruct
18,QC,222,"VERDUN",4706,5602,,13449,1266,,Other,Con,CCF
18,QC,223,"WRIGHT",,2540,5945,825,1296,,Lib,Con,Reconstruct
18,SK,224,"ASSINIBOIA",3293,3847,6213,,,1557,Lib,Con,CCF
18,SK,225,"HUMBOLDT",4592,1171,6877,,,2395,Lib,CCF,SoCred
