election_id,prov_code,ed_id,ed_name,cand_id,cand_name,cand_raw_party_name,party_code,elected,acclaimed,votes,place
23,AB,1,ACADIA,12078,"QUELCH, Victor",Social Credit Party of Canada,SoCred,t,f,10348,1
23,AB,1,ACADIA,12080,"FERGUSON, Crawford",Liberal,Lib,f,f,5825,2
23,AB,1,ACADIA,12081,"KENT, William R.",Progressive Conservative,PC,f,f,1852,3
23,AB,1,ACADIA,12079,"MCRAE, Stuart",Co-operative Commonwealth Federation,CCF,f,f,1520,4
23,AB,2,ATHABASKA,12082,"DECHENE, Joseph Miville",Liberal,Lib,t,f,7453,1
23,AB,2,ATHABASKA,12084,"MCPHAIL, Archie A.",Social Credit Party of Canada,SoCred,f,f,7029,2
23,AB,2,ATHABASKA,12085,"SHORE, Alec",Progressive Conservative,PC,f,f,2116,3
23,AB,2,ATHABASKA,12083,"SVEKLA, Nicholas W.",Co-operative Commonwealth Federation,CCF,f,f,1381,4
23,AB,3,BATTLE RIVER--CAMROSE,12086,"SMITH, James A.",Social Credit Party of Canada,SoCred,t,f,10945,1
23,AB,3,BATTLE RIVER--CAMROSE,12087,"HECKBERT, S. Carl",Liberal,Lib,f,f,5523,2
23,AB,3,BATTLE RIVER--CAMROSE,12088,"SMALLWOOD, Clifford S.",Progressive Conservative,PC,f,f,3808,3
23,AB,3,BATTLE RIVER--CAMROSE,12089,"ROLSETH, Harold",Co-operative Commonwealth Federation,CCF,f,f,2180,4
23,AB,4,BOW RIVER,12090,"JOHNSTON, Charles Edward",Social Credit Party of Canada,SoCred,t,f,7383,1
23,AB,4,BOW RIVER,12091,"WOOLLIAMS, Eldon Mattison",Progressive Conservative,PC,f,f,7039,2
23,AB,4,BOW RIVER,12092,"BATES, Arthur Cecil",Liberal,Lib,f,f,4493,3
23,AB,5,CALGARY NORTH,12093,"HARKNESS, Douglas Scott",Progressive Conservative,PC,t,f,21783,1
23,AB,5,CALGARY NORTH,12094,"SMITH, Ian",Social Credit Party of Canada,SoCred,f,f,10066,2
23,AB,5,CALGARY NORTH,12095,"MACLEAN, Una",Liberal,Lib,f,f,6429,3
23,AB,5,CALGARY NORTH,12096,"BRONSON, Harold",Co-operative Commonwealth Federation,CCF,f,f,1545,4
23,AB,6,CALGARY SOUTH,12097,"SMITH, Art",Progressive Conservative,PC,t,f,21065,1
23,AB,6,CALGARY SOUTH,12098,"MACKAY, Donald H.",Liberal,Lib,f,f,11599,2
23,AB,6,CALGARY SOUTH,12099,"WILLMOTT, Cliff M.",Social Credit Party of Canada,SoCred,f,f,5738,3
23,AB,6,CALGARY SOUTH,12100,"RYAN, H.J.",Co-operative Commonwealth Federation,CCF,f,f,1033,4
23,AB,7,EDMONTON EAST,12101,"HOLOWACH, Ambrose",Social Credit Party of Canada,SoCred,t,f,10967,1
23,AB,7,EDMONTON EAST,12102,"HAWRELAK, William",Liberal,Lib,f,f,10683,2
23,AB,7,EDMONTON EAST,12103,"BOWIE-REED, John",Progressive Conservative,PC,f,f,3927,3
23,AB,7,EDMONTON EAST,12104,"ATKIN, Robert",Co-operative Commonwealth Federation,CCF,f,f,1797,4
23,AB,8,EDMONTON WEST,12106,"LAMBERT, Marcel",Progressive Conservative,PC,t,f,14173,1
23,AB,8,EDMONTON WEST,12105,"DYDE, H.A.",Liberal,Lib,f,f,12606,2
23,AB,8,EDMONTON WEST,12107,"MCKAY, John William",Social Credit Party of Canada,SoCred,f,f,11814,3
23,AB,8,EDMONTON WEST,12108,"MENTZ, Walter",Co-operative Commonwealth Federation,CCF,f,f,2249,4
23,AB,9,EDMONTON--STRATHCONA,12109,"THOMPSON, Sydney Herbert Stewart",Social Credit Party of Canada,SoCred,t,f,13124,1
23,AB,9,EDMONTON--STRATHCONA,12111,"HANNA, Richmond Francis Lionel",Liberal,Lib,f,f,10731,2
23,AB,9,EDMONTON--STRATHCONA,12110,"NUGENT, Terry",Progressive Conservative,PC,f,f,10525,3
23,AB,9,EDMONTON--STRATHCONA,12112,"JOHNSON, Floyd Albin",Co-operative Commonwealth Federation,CCF,f,f,2434,4
