election_id,prov_code,ed_id,ed_name,cand_id,cand_name,cand_raw_party_name,party_code,elected,acclaimed,votes,place
40,AB,48006,Calgary Centre,35039,"Richardson, Lee",Conservative,Con,t,f,28401,1
40,AB,48006,Calgary Centre,35038,"Pollock, Jennifer",Liberal,Lib,f,f,8631,2
40,AB,48006,Calgary Centre,35037,"Montgomery, Donna Marlis",NDP-New Democratic Party,NDP,f,f,7314,3
40,AB,48006,Calgary Centre,35036,"Hamilton, William",Green Party,Grn,f,f,4889,4
40,AB,48003,Calgary Centre-North,35026,"Rempel, Michelle",Conservative,Con,t,f,28443,1
40,AB,48003,Calgary Centre-North,35022,"Vargis, Paul",NDP-New Democratic Party,NDP,f,f,8048,2
40,AB,48003,Calgary Centre-North,35025,"Randall, Stephen James",Liberal,Lib,f,f,7046,3
40,AB,48003,Calgary Centre-North,35023,"MacIntosh, Heather",Green Party,Grn,f,f,6578,4
40,AB,48003,Calgary Centre-North,35024,"Askin, Peggy",Marxist-Leninist,M-L,f,f,203,5
40,AB,48002,Calgary East,35018,"Obhrai, Deepak",Conservative,Con,t,f,23372,1
40,AB,48002,Calgary East,35020,"Brown, Al",NDP-New Democratic Party,NDP,f,f,4894,2
40,AB,48002,Calgary East,35017,"Petrunic, Josipa",Liberal,Lib,f,f,4102,3
40,AB,48002,Calgary East,35019,"Milton, Scott W.",Green Party,Grn,f,f,2047,4
40,AB,48002,Calgary East,35021,"Devine, Jason",Communist,Com,f,f,246,5
40,AB,48004,Calgary Northeast,35028,"Shory, Devinder",Conservative,Con,t,f,23550,1
40,AB,48004,Calgary Northeast,35030,"Stewart, Cam",Liberal,Lib,f,f,11487,2
40,AB,48004,Calgary Northeast,35027,"Singh, Colette",NDP-New Democratic Party,NDP,f,f,4262,3
40,AB,48004,Calgary Northeast,35031,"Brown-Eckersley, Sheila",Green Party,Grn,f,f,1953,4
40,AB,48004,Calgary Northeast,35029,"Blanchard, Daniel",Marxist-Leninist,M-L,f,f,206,5
40,AB,48007,Calgary Southeast,35044,"Kenney, Jason",Conservative,Con,t,f,48173,1
