election_id,prov_code,ed_id,ed_name,cand_id,cand_name,cand_raw_party_name,party_code,elected,acclaimed,votes,place
28,AB,1,ATHABASCA,16821,"YEWCHUK, Paul",Progressive Conservative,PC,t,f,8852,1
28,AB,1,ATHABASCA,16822,"MACCAGNO, Mike",Liberal,Lib,f,f,7626,2
28,AB,1,ATHABASCA,16823,"ANDERSON, Terry",New Democratic Party,NDP,f,f,2315,3
28,AB,2,BATTLE RIVER,16824,"DOWNEY, Cliff",Progressive Conservative,PC,t,f,15725,1
28,AB,2,BATTLE RIVER,16825,"KNAUT, Rod",Liberal,Lib,f,f,4124,2
28,AB,2,BATTLE RIVER,16826,"VALLEAU, Stan",Social Credit Party of Canada,SoCred,f,f,2756,3
28,AB,2,BATTLE RIVER,16827,"SCOTTEN, William M.",New Democratic Party,NDP,f,f,1827,4
28,AB,3,CALGARY CENTRE,16828,"HARKNESS, Douglas S.",Progressive Conservative,PC,t,f,16977,1
28,AB,3,CALGARY CENTRE,16830,"TAYLOR, Nick",Liberal,Lib,f,f,16676,2
28,AB,3,CALGARY CENTRE,16829,"JACKSON, Margaret I.",New Democratic Party,NDP,f,f,2413,3
28,AB,4,CALGARY NORTH,16831,"WOOLLIAMS, Eldon M.",Progressive Conservative,PC,t,f,21708,1
28,AB,4,CALGARY NORTH,16832,"PETRASUK, Peter",Liberal,Lib,f,f,18185,2
28,AB,4,CALGARY NORTH,16833,"TAKACS, Ted",New Democratic Party,NDP,f,f,3648,3
28,AB,5,CALGARY SOUTH,16834,"MAHONEY, Pat",Liberal,Lib,t,f,20472,1
28,AB,5,CALGARY SOUTH,16835,"BALLARD, Ray",Progressive Conservative,PC,f,f,19716,2
28,AB,5,CALGARY SOUTH,16836,"PETERS, Jack D.",New Democratic Party,NDP,f,f,2798,3
28,AB,6,CROWFOOT,16837,"HORNER, Jack H.",Progressive Conservative,PC,t,f,16508,1
28,AB,6,CROWFOOT,16839,"SHARP, Noel",Liberal,Lib,f,f,4783,2
28,AB,6,CROWFOOT,16838,"MCCREADY, Stuart",New Democratic Party,NDP,f,f,1185,3
28,AB,7,EDMONTON CENTRE,16840,"PAPROSKI, Steven Eugene",Progressive Conservative,PC,t,f,12062,1
28,AB,7,EDMONTON CENTRE,16841,"GRAY, Donald",Liberal,Lib,f,f,11811,2
