election_id,prov_code,ed_id,ed_name,cand_id,cand_name,cand_raw_party_name,party_code,elected,acclaimed,votes,place
30,AB,1,ATHABASCA,18906,"YEWCHUK, Paul",Progressive Conservative,PC,t,f,13157,1
30,AB,1,ATHABASCA,18907,"MAHÉ, Yvon",Liberal,Lib,f,f,5243,2
30,AB,1,ATHABASCA,18905,"OPRYSHKO, Peter",New Democratic Party,NDP,f,f,2372,3
30,AB,2,BATTLE RIVER,18911,"MALONE, Arnold",Progressive Conservative,PC,t,f,16819,1
30,AB,2,BATTLE RIVER,18908,"ROLF, Norman",Liberal,Lib,f,f,3674,2
30,AB,2,BATTLE RIVER,18910,"ERIKSSON, Vincent",New Democratic Party,NDP,f,f,2157,3
30,AB,2,BATTLE RIVER,18909,"MUNRO, Doug",Social Credit Party of Canada,SoCred,f,f,2058,4
30,AB,3,CALGARY CENTRE,18915,"ANDRE, Harvie",Progressive Conservative,PC,t,f,23810,1
30,AB,3,CALGARY CENTRE,18917,"WRIGHT, Frances",Liberal,Lib,f,f,9912,2
30,AB,3,CALGARY CENTRE,18914,"MCGUIRE, George",New Democratic Party,NDP,f,f,3072,3
30,AB,3,CALGARY CENTRE,18913,"WILLMOTT, Clifford",Social Credit Party of Canada,SoCred,f,f,646,4
30,AB,3,CALGARY CENTRE,18912,"WHITEFIELD, David G.",Communist Party of Canada,Com,f,f,170,5
30,AB,3,CALGARY CENTRE,18916,"MAGEL, Dean",Marxist-Leninist Party,M-L,f,f,91,6
30,AB,4,CALGARY NORTH,18919,"WOOLLIAMS, Eldon",Progressive Conservative,PC,t,f,30175,1
30,AB,4,CALGARY NORTH,18918,"SUTHERLAND, John",Liberal,Lib,f,f,10773,2
30,AB,4,CALGARY NORTH,18920,"JOHNSON, Floyd",New Democratic Party,NDP,f,f,4332,3
30,AB,4,CALGARY NORTH,18921,"SCHLENKER, Dale",Social Credit Party of Canada,SoCred,f,f,1358,4
30,AB,5,CALGARY SOUTH,18923,"BAWDEN, Peter",Progressive Conservative,PC,t,f,41530,1
30,AB,5,CALGARY SOUTH,18925,"GREEN, Don",Liberal,Lib,f,f,14116,2
30,AB,5,CALGARY SOUTH,18922,"HARASYMIW, Bohdan",New Democratic Party,NDP,f,f,3558,3
30,AB,5,CALGARY SOUTH,18926,"CAMERON, Ralph W.",Social Credit Party of Canada,SoCred,f,f,1120,4
30,AB,5,CALGARY SOUTH,18924,"BROWNING, Stephen E.",Independent,Ind,f,f,607,5
30,AB,6,CROWFOOT,18928,"HORNER, Jack H.",Progressive Conservative,PC,t,f,18048,1
30,AB,6,CROWFOOT,18929,"PATTERSON, Ernest R.",Liberal,Lib,f,f,3477,2
30,AB,6,CROWFOOT,18930,"GREEN, Jim",Social Credit Party of Canada,SoCred,f,f,1307,3
30,AB,6,CROWFOOT,18927,"MCCREARY, Muriel",New Democratic Party,NDP,f,f,1071,4
30,AB,7,EDMONTON CENTRE,18932,"PAPROSKI, Steven Eugene",Progressive Conservative,PC,t,f,18165,1
30,AB,7,EDMONTON CENTRE,18933,"SCHEPANOVICH, Branny",Liberal,Lib,f,f,10501,2
30,AB,7,EDMONTON CENTRE,18935,"LABERCANE, George D.",New Democratic Party,NDP,f,f,3717,3
30,AB,7,EDMONTON CENTRE,18936,"BECK, Gerry K.J.",Social Credit Party of Canada,SoCred,f,f,766,4
30,AB,7,EDMONTON CENTRE,18937,"JACKLIN, Reg",Independent,Ind,f,f,125,5
30,AB,7,EDMONTON CENTRE,18934,"JARBEAU, Norah",Communist Party of Canada,Com,f,f,116,6
30,AB,7,EDMONTON CENTRE,18931,"NELSON, Daniel R.",Marxist-Leninist Party,M-L,f,f,68,7
30,AB,8,EDMONTON EAST,18939,"SKOREYKO, William M.",Progressive Conservative,PC,t,f,18321,1
30,AB,8,EDMONTON EAST,18940,"MACLEAN EVANS, Una",Liberal,Lib,f,f,11122,2
30,AB,8,EDMONTON EAST,18942,"KOBLUK, Bill",New Democratic Party,NDP,f,f,4413,3
30,AB,8,EDMONTON EAST,18938,"HATTERSLEY, Martin J.",Social Credit Party of Canada,SoCred,f,f,1119,4
30,AB,8,EDMONTON EAST,18943,"TUOMI, Bill",Communist Party of Canada,Com,f,f,176,5
30,AB,8,EDMONTON EAST,18941,"NIMMONS, Dick",Independent,Ind,f,f,128,6
30,AB,8,EDMONTON EAST,18944,"MORTON, Peggy",Marxist-Leninist Party,M-L,f,f,49,7
30,AB,9,EDMONTON WEST,18946,"LAMBERT, Marcel",Progressive Conservative,PC,t,f,29990,1
30,AB,9,EDMONTON WEST,18949,"MACDONALD, Mike",Liberal,Lib,f,f,21094,2
30,AB,9,EDMONTON WEST,18947,"WEAVER, Jane",New Democratic Party,NDP,f,f,4605,3
30,AB,9,EDMONTON WEST,18945,"LUDWIG, John B.",Social Credit Party of Canada,SoCred,f,f,1270,4
30,AB,9,EDMONTON WEST,18950,"BISSELL, Brent",Independent,Ind,f,f,242,5
30,AB,9,EDMONTON WEST,18948,"PLANTE, Stan",Marxist-Leninist Party,M-L,f,f,128,6
30,AB,10,EDMONTON--STRATHCONA,18952,"ROCHE, Doug",Progressive Conservative,PC,t,f,25808,1
30,AB,10,EDMONTON--STRATHCONA,18956,"TANNER, B.C.",Liberal,Lib,f,f,14337,2
30,AB,10,EDMONTON--STRATHCONA,18951,"FAHLMAN, Lila",New Democratic Party,NDP,f,f,5426,3
30,AB,10,EDMONTON--STRATHCONA,18957,"ODDSON, Leif",Social Credit Party of Canada,SoCred,f,f,1146,4
30,AB,10,EDMONTON--STRATHCONA,18953,"GILLESPIE, Robin",Independent,Ind,f,f,226,5
30,AB,10,EDMONTON--STRATHCONA,18955,"STRYNADKA, Harry",Communist Party of Canada,Com,f,f,132,6
30,AB,10,EDMONTON--STRATHCONA,18954,"ASKIN, Peggy",Marxist-Leninist Party,M-L,f,f,79,7
30,AB,11,LETHBRIDGE,18960,"HURLBURT, Ken",Progressive Conservative,PC,t,f,20602,1
30,AB,11,LETHBRIDGE,18961,"ERICKSEN, Sven",Liberal,Lib,f,f,7075,2
30,AB,11,LETHBRIDGE,18958,"ANNAND, Bessie",New Democratic Party,NDP,f,f,3329,3
30,AB,11,LETHBRIDGE,18959,"YOUNG, Vern",Social Credit Party of Canada,SoCred,f,f,1428,4
30,AB,12,MEDICINE HAT,18963,"HARGRAVE, Bert",Progressive Conservative,PC,t,f,15525,1
30,AB,12,MEDICINE HAT,18964,"OLSON, H.A. Bud",Liberal,Lib,f,f,9273,2
30,AB,12,MEDICINE HAT,18962,"HEMMINGWAY, L.",New Democratic Party,NDP,f,f,1961,3
30,AB,12,MEDICINE HAT,18965,"ENS, Edwin",Social Credit Party of Canada,SoCred,f,f,1538,4
30,AB,13,PALLISER,18968,"SCHUMACHER, Stan",Progressive Conservative,PC,t,f,34185,1
30,AB,13,PALLISER,18966,"SALUS, John",Liberal,Lib,f,f,10125,2
30,AB,13,PALLISER,18969,"MCCUTCHEON, Bill",New Democratic Party,NDP,f,f,3708,3
30,AB,13,PALLISER,18967,"MAJOR, Ada",Social Credit Party of Canada,SoCred,f,f,1590,4
30,AB,14,PEACE RIVER,18971,"BALDWIN, Ged",Progressive Conservative,PC,t,f,14153,1
30,AB,14,PEACE RIVER,18973,"KIMPE, Ed",Liberal,Lib,f,f,5068,2
30,AB,14,PEACE RIVER,18972,"HEMMINGWAY, Anne",New Democratic Party,NDP,f,f,3941,3
30,AB,14,PEACE RIVER,18970,"ZUK, Michael",Independent,Ind,f,f,196,4
30,AB,15,PEMBINA,18975,"ELZINGA, Peter",Progressive Conservative,PC,t,f,19172,1
30,AB,15,PEMBINA,18974,"BORGER, John",Liberal,Lib,f,f,12196,2
30,AB,15,PEMBINA,18981,"HOLLANDS, Dan",No affiliation to a recognised party,Ind,f,f,7017,3
30,AB,15,PEMBINA,18976,"HENNESSEY, Thomas",New Democratic Party,NDP,f,f,4266,4
30,AB,15,PEMBINA,18977,"PELECH, Bill",Social Credit Party of Canada,SoCred,f,f,973,5
30,AB,15,PEMBINA,18979,"STENBURG, Neil",Communist Party of Canada,Com,f,f,151,6
30,AB,15,PEMBINA,18978,"NELSON, Chuck",No affiliation to a recognised party,Ind,f,f,131,7
30,AB,15,PEMBINA,18980,"ASKIN, Peter",Marxist-Leninist Party,M-L,f,f,123,8
30,AB,16,RED DEER,18983,"TOWERS, Gordon",Progressive Conservative,PC,t,f,22251,1
30,AB,16,RED DEER,18984,"MOFFAT, Dennis",Liberal,Lib,f,f,5645,2
30,AB,16,RED DEER,18985,"TAYLOR, Ethel",New Democratic Party,NDP,f,f,2791,3
30,AB,16,RED DEER,18982,"KEEGSTRA, Jim",Social Credit Party of Canada,SoCred,f,f,2670,4
30,AB,17,ROCKY MOUNTAIN,18987,"CLARK, Joe",Progressive Conservative,PC,t,f,16042,1
30,AB,17,ROCKY MOUNTAIN,18988,"YATES, Arthur",Liberal,Lib,f,f,6236,2
30,AB,17,ROCKY MOUNTAIN,18989,"WRIGLEY, Bob",New Democratic Party,NDP,f,f,2750,3
30,AB,17,ROCKY MOUNTAIN,18986,"SPEIRS, C.J.",Social Credit Party of Canada,SoCred,f,f,1230,4
30,AB,18,VEGREVILLE,18991,"MAZANKOWSKI, Don",Progressive Conservative,PC,t,f,18328,1
30,AB,18,VEGREVILLE,18990,"HARRIS, Ron C.",Liberal,Lib,f,f,3461,2
30,AB,18,VEGREVILLE,18993,"GERELUK, Winston",New Democratic Party,NDP,f,f,2935,3
30,AB,18,VEGREVILLE,18992,"SOMMERVILLE, Bob",Social Credit Party of Canada,SoCred,f,f,671,4
30,AB,19,WETASKIWIN,18995,"SCHELLENBERGER, Stan",Progressive Conservative,PC,t,f,21341,1
30,AB,19,WETASKIWIN,18994,"MOVOLD, Roger",Liberal,Lib,f,f,5645,2
30,AB,19,WETASKIWIN,18997,"ARNSTON, Alfred",New Democratic Party,NDP,f,f,2906,3
30,AB,19,WETASKIWIN,18996,"GOETZ, Alvin",Social Credit Party of Canada,SoCred,f,f,2019,4
30,BC,1,BURNABY--RICHMOND--DELTA,18999,"REYNOLDS, John",Progressive Conservative,PC,t,f,34013,1
30,BC,1,BURNABY--RICHMOND--DELTA,19001,"WALLACE, Joan",Liberal,Lib,f,f,17570,2
