election_id,prov_code,ed_id,ed_name,cand_id,cand_name,cand_raw_party_name,party_code,elected,acclaimed,votes,place
24,AB,1,ACADIA,12940,"HORNER, Jack H.",Progressive Conservative,PC,t,f,9669,1
24,AB,1,ACADIA,12942,"BERGMAN, Meredith P.",Social Credit Party of Canada,SoCred,f,f,5597,2
24,AB,1,ACADIA,12943,"FERGUSON, Crawford",Liberal,Lib,f,f,2995,3
24,AB,1,ACADIA,12941,"TORY, Kenn S.",Co-operative Commonwealth Federation,CCF,f,f,942,4
24,AB,2,ATHABASKA,12944,"BIGG, Frederick Jack",Progressive Conservative,PC,t,f,9751,1
24,AB,2,ATHABASKA,12947,"RENAUD, Joachim Peter",Liberal,Lib,f,f,4473,2
24,AB,2,ATHABASKA,12946,"MCPHAIL, Archie A.",Social Credit Party of Canada,SoCred,f,f,3806,3
24,AB,2,ATHABASKA,12945,"BARON, Nick",Co-operative Commonwealth Federation,CCF,f,f,820,4
24,AB,3,BATTLE RIVER--CAMROSE,12948,"SMALLWOOD, Clifford S.",Progressive Conservative,PC,t,f,13049,1
24,AB,3,BATTLE RIVER--CAMROSE,12950,"SMITH, James A.",Social Credit Party of Canada,SoCred,f,f,6137,2
24,AB,3,BATTLE RIVER--CAMROSE,12949,"SAVILLE, Francis Clifford",Liberal,Lib,f,f,2216,3
24,AB,3,BATTLE RIVER--CAMROSE,12951,"ROLSETH, Harold",Co-operative Commonwealth Federation,CCF,f,f,1340,4
24,AB,4,BOW RIVER,12952,"WOOLLIAMS, Eldon M.",Progressive Conservative,PC,t,f,12695,1
24,AB,4,BOW RIVER,12954,"JOHNSTON, Charles Edward",Social Credit Party of Canada,SoCred,f,f,5646,2
24,AB,4,BOW RIVER,12953,"OLSON, Francis John Robert",Liberal,Lib,f,f,1772,3
24,AB,5,CALGARY NORTH,12955,"HARKNESS, Douglas S.",Progressive Conservative,PC,t,f,30930,1
24,AB,5,CALGARY NORTH,12957,"LEAVITT, Lee",Social Credit Party of Canada,SoCred,f,f,5484,2
24,AB,5,CALGARY NORTH,12956,"LANE, D. Austin",Liberal,Lib,f,f,4555,3
24,AB,5,CALGARY NORTH,12958,"ELLINSON, George",Co-operative Commonwealth Federation,CCF,f,f,2018,4
24,AB,6,CALGARY SOUTH,12959,"SMITH, Art",Progressive Conservative,PC,t,f,29482,1
24,AB,6,CALGARY SOUTH,12961,"SHANNON, Mel",Liberal,Lib,f,f,7039,2
24,AB,6,CALGARY SOUTH,12960,"BROWN, Frank",Social Credit Party of Canada,SoCred,f,f,3884,3
24,AB,6,CALGARY SOUTH,12962,"RYAN, H.J.",Co-operative Commonwealth Federation,CCF,f,f,1416,4
24,AB,7,EDMONTON EAST,12963,"SKOREYKO, William",Progressive Conservative,PC,t,f,15236,1
24,AB,7,EDMONTON EAST,12964,"HOLOWACH, Ambrose",Social Credit Party of Canada,SoCred,f,f,6441,2
24,AB,7,EDMONTON EAST,12968,"BRACCO, John David",Liberal,Lib,f,f,4413,3
24,AB,7,EDMONTON EAST,12966,"UGANECZ, Peter",Co-operative Commonwealth Federation,CCF,f,f,1220,4
24,AB,7,EDMONTON EAST,12965,"TUOMI, William",Labour Progressive Party,LabPP,f,f,473,5
24,AB,7,EDMONTON EAST,12967,"SMITH, Aubrey Allen",Independent Progressive Conservative,Ind,f,f,253,6
24,AB,8,EDMONTON WEST,12969,"LAMBERT, Marcel",Progressive Conservative,PC,t,f,30937,1
24,AB,8,EDMONTON WEST,12971,"HAAR, John L.",Liberal,Lib,f,f,8544,2
24,AB,8,EDMONTON WEST,12970,"MCKAY, John W.",Social Credit Party of Canada,SoCred,f,f,4893,3
24,AB,8,EDMONTON WEST,12972,"HARDMAN, David",Co-operative Commonwealth Federation,CCF,f,f,2023,4
24,AB,9,EDMONTON--STRATHCONA,12973,"NUGENT, Terry",Progressive Conservative,PC,t,f,25885,1
24,AB,9,EDMONTON--STRATHCONA,12975,"THOMPSON, Sydney",Social Credit Party of Canada,SoCred,f,f,7270,2
24,AB,9,EDMONTON--STRATHCONA,12976,"HANNA, R.F.L.",Liberal,Lib,f,f,7218,3
24,AB,9,EDMONTON--STRATHCONA,12974,"HOLMES, Arnold",Co-operative Commonwealth Federation,CCF,f,f,1838,4
24,AB,10,JASPER--EDSON,12977,"HORNER, Hugh M.",Progressive Conservative,PC,t,f,12522,1
24,AB,10,JASPER--EDSON,12979,"YUILL, Charles",Social Credit Party of Canada,SoCred,f,f,4240,2
24,AB,10,JASPER--EDSON,12978,"THOMSON, Dale",Liberal,Lib,f,f,3683,3
24,AB,10,JASPER--EDSON,12980,"LISS, John",Co-operative Commonwealth Federation,CCF,f,f,1396,4
24,AB,11,LETHBRIDGE,12981,"GUNDLOCK, Deane R.",Progressive Conservative,PC,t,f,13364,1
24,AB,11,LETHBRIDGE,12982,"BLACKMORE, John Horne",Social Credit Party of Canada,SoCred,f,f,6471,2
24,AB,11,LETHBRIDGE,12983,"YANOSIK, Clarence G.",Liberal,Lib,f,f,2714,3
24,AB,11,LETHBRIDGE,12984,"OLSEN, Ervin D.",Independent Social Credit,Ind,f,f,361,4
24,AB,12,MACLEOD,12985,"KINDT, Lawrence E.",Progressive Conservative,PC,t,f,11911,1
24,AB,12,MACLEOD,12986,"HANSELL, Ernest George",Social Credit Party of Canada,SoCred,f,f,5623,2
24,AB,12,MACLEOD,12988,"DERRICK, James",Liberal,Lib,f,f,1907,3
24,AB,12,MACLEOD,12987,"GRIFFIN, John Purrier",Co-operative Commonwealth Federation,CCF,f,f,736,4
24,AB,13,MEDICINE HAT,12989,"BRUNSDEN, E.W.",Progressive Conservative,PC,t,f,10886,1
