election_id,prov_code,ed_id,ed_name,cand_id,cand_name,cand_raw_party_name,party_code,elected,acclaimed,votes,place
7,BC,1,CARIBOO,2341,"BARNARD, F.S.",Conservative,Con,t,f,223,1
7,BC,1,CARIBOO,2342,"WATT, Hugh",Liberal,Lib,f,f,194,2
7,BC,2,NEW WESTMINSTER,2343,"CORBOULD, G.E.",Conservative,Con,t,f,1694,1
7,BC,2,NEW WESTMINSTER,2344,"SCOULLOR, E.S.",Liberal,Lib,f,f,532,2
7,BC,3,VANCOUVER,2345,"GORDON, David W.",Liberal-Conservative,LibCon,t,t,,1
7,BC,4,VICTORIA-1,2346,"EARLE, Thomas",Conservative,Con,t,f,1061,1
7,BC,4,VICTORIA-1,2347,"MARCHANT, William",Liberal,Lib,f,f,417,2
7,BC,5,VICTORIA-2,2348,"PRIOR, E.G.",Conservative,Con,t,f,1031,1
7,BC,5,VICTORIA-2,2349,"TEMPLEMAN, William",Liberal,Lib,f,f,449,2
7,BC,6,YALE,2350,"MARA, John Andrew",Conservative,Con,t,t,,1
7,MB,1,LISGAR,2352,"ROSS, Arthur W.",Liberal-Conservative,LibCon,t,f,1359,1
7,MB,1,LISGAR,2351,"TAYLOR, John",Liberal,Lib,f,f,1169,2
7,MB,2,MARQUETTE,2353,"WATSON, Robert",Liberal,Lib,t,f,2265,1
7,MB,2,MARQUETTE,2354,"BOYD, Nathaniel",Conservative,Con,f,f,2219,2
7,MB,3,PROVENCHER,2355,"LARIVIÈRE, Alphonse A.C.",Conservative,Con,t,t,,1
7,MB,4,SELKIRK,2356,"DALY, T.M.",Liberal-Conservative,LibCon,t,f,3660,1
7,MB,4,SELKIRK,2357,"MARTIN, Joseph",Liberal,Lib,f,f,3225,2
7,MB,5,WINNIPEG,2358,"MACDONALD, H.J.",Liberal-Conservative,LibCon,t,f,2131,1
7,MB,5,WINNIPEG,2359,"CAMPBELL, Isaac",Liberal,Lib,f,f,1622,2
7,NB,1,ALBERT,2360,"WELDON, R.C.",Conservative,Con,t,f,1096,1
7,NB,1,ALBERT,2361,"EMMERSON, H.R.",Liberal,Lib,f,f,1020,2
7,NB,2,CARLETON,2362,"COLTER, N.R.",Liberal,Lib,t,f,2016,1
7,NB,2,CARLETON,2363,"VINCE, D. McL.",Conservative,Con,f,f,1908,2
7,NB,3,CHARLOTTE,2364,"GILLMOR, A.H.",Liberal,Lib,t,f,1934,1
7,NB,3,CHARLOTTE,2365,"CLARKE, G.J.",Conservative,Con,f,f,1686,2
7,NB,4,CITY AND COUNTY OF ST. JOHN-1,2366,"SKINNER, C.N.",Liberal,Lib,t,f,4448,1
7,NB,4,CITY AND COUNTY OF ST. JOHN-1,2367,"WELDON, C.W.",Liberal,Lib,f,f,3832,2
7,NB,5,CITY AND COUNTY OF ST. JOHN-2,2368,"HAZEN, J.D.",Conservative,Con,t,f,4824,1
7,NB,5,CITY AND COUNTY OF ST. JOHN-2,2369,"RANKINE, T.A.",Unknown,Unknown,f,f,3503,2
7,NB,6,CITY OF ST. JOHN,2370,"MCLEOD, Ezekiel",Conservative,Con,t,f,2649,1
7,NB,6,CITY OF ST. JOHN,2371,"ELLIS, John V.",Liberal,Lib,f,f,2063,2
7,NB,7,GLOUCESTER,2372,"BURNS, K.F.",Conservative,Con,t,f,1943,1
7,NB,7,GLOUCESTER,2373,"LANDRY, W.A.",Liberal,Lib,f,f,1571,2
7,NB,8,KENT,2374,"LÉGER, E.-H.",Conservative,Con,t,f,1722,1
7,NB,8,KENT,2375,"LEBLANC, O.J.",Liberal,Lib,f,f,1011,2
7,NB,9,KING'S,2376,"FOSTER, George E.",Conservative,Con,t,f,1931,1
7,NB,9,KING'S,2377,"DOMVILLE, James",Independent,Ind,f,f,1858,2
7,NB,10,NORTHUMBERLAND,2379,"ADAMS, Michael",Conservative,Con,t,f,2192,1
7,NB,10,NORTHUMBERLAND,2378,"MITCHELL, Peter",Independent Liberal,Ind,f,f,1719,2
7,NB,11,QUEEN'S,2380,"KING, G.G.",Liberal,Lib,t,f,1233,1
7,NB,11,QUEEN'S,2381,"BAIRD, G.F.",Conservative,Con,f,f,1204,2
7,NB,12,RESTIGOUCHE,2382,"MCALISTER, John",Liberal-Conservative,LibCon,t,f,735,1
7,NB,12,RESTIGOUCHE,2383,"MOFFATT, George",Conservative,Con,f,f,519,2
7,NB,13,SUNBURY,2384,"WILMOT, R.D.",Conservative,Con,t,f,712,1
7,NB,13,SUNBURY,2385,"DAY, Geo. E.",Liberal,Lib,f,f,427,2
7,NB,14,VICTORIA,2386,"COSTIGAN, Hon. John",Liberal-Conservative,LibCon,t,f,1427,1
7,NB,14,VICTORIA,2387,"LAWSON, Thomas",Liberal,Lib,f,f,732,2
7,NB,15,WESTMORLAND,2388,"WOOD, Josiah",Conservative,Con,t,f,4205,1
7,NB,15,WESTMORLAND,2389,"GEORGE, Wm. F.",Liberal,Lib,f,f,2057,2
7,NB,16,YORK,2390,"TEMPLE, Thomas",Conservative,Con,t,f,2048,1
7,NB,16,YORK,2391,"THOMPSON, Fred P.",Liberal,Lib,f,f,1821,2
7,NS,1,ANNAPOLIS,2392,"MILLS, John B.",Conservative,Con,t,f,1835,1
7,NS,1,ANNAPOLIS,2393,"CHIPMAN, Wm. A.",Unknown,Unknown,f,f,1662,2
7,NS,2,ANTIGONISH,2394,"THOMPSON, Hon. Sir John S.D.",Liberal-Conservative,LibCon,t,f,1346,1
7,NS,2,ANTIGONISH,2395,"MCGILLIVRAY, Angus",Unknown,Unknown,f,f,1119,2
7,NS,3,CAPE BRETON-1,2396,"MCDOUGALL, H.F.",Liberal-Conservative,LibCon,t,f,2681,1
7,NS,3,CAPE BRETON-1,2397,"MCPHERSON, Joseph",Liberal,Lib,f,f,2078,2
7,NS,4,CAPE BRETON-2,2399,"MACKEEN, David",Conservative,Con,t,f,2889,1
7,NS,4,CAPE BRETON-2,2398,"MURRAY, Geo. H.",Liberal,Lib,f,f,2161,2
7,NS,5,COLCHESTER,2401,"PATTERSON, W.A.",Conservative,Con,t,f,2588,1
7,NS,5,COLCHESTER,2400,"ARCHIBALD, P. McG.",Liberal,Lib,f,f,1785,2
7,NS,5,COLCHESTER,2402,"FLETCHER, A.B.",Progressive,Prog,f,f,165,3
7,NS,6,CUMBERLAND,2403,"DICKEY, A.R.",Conservative,Con,t,f,2935,1
7,NS,6,CUMBERLAND,2405,"HOWARD, D.S.",Liberal,Lib,f,f,2095,2
7,NS,6,CUMBERLAND,2404,"CASEY, C.R.",Progressive,Prog,f,f,303,3
7,NS,7,DIGBY,2406,"BOWERS, E.C.",Liberal,Lib,t,f,1503,1
7,NS,7,DIGBY,2407,"JONES, H.L.",Conservative,Con,f,f,1430,2
7,NS,8,GUYSBOROUGH,2408,"FRASER, D.C.",Liberal,Lib,t,f,1145,1
7,NS,8,GUYSBOROUGH,2409,"OGDEN, Alfred",Conservative,Con,f,f,1059,2
